wavelength_angstrom,opacity_cm_minus_1
5014.6,1.0821494160544088e-15
5014.7,1.0826650322154642e-15
5014.8,1.0831810169809514e-15
5014.9,1.0836973707022964e-15
5015.0,1.0842140937313428e-15
5015.1,1.0847311864203641e-15
5015.2,1.0852486491220438e-15
5015.3,1.0857664821894867e-15
5015.4,1.0862846859762281e-15
5015.5,1.086803260836215e-15
5015.6,1.0873222071238183e-15
5015.7,1.0878415251938405e-15
5015.8,1.0883612154014994e-15
5015.9,1.0888812781024353e-15
5016.0,1.0894017136527248e-15
5016.1,1.0899225224088602e-15
5016.2,1.0904437047277587e-15
5016.3,1.090965260966776e-15
5016.4,1.0914871914836831e-15
5016.5,1.0920094966366811e-15
5016.6,1.0925321767844085e-15
5016.7,1.0930552322859232e-15
5016.8,1.0935786635007134e-15
5016.9,1.0941024707887072e-15
5017.0,1.0946266545102543e-15
5017.1,1.0951512150261358e-15
5017.2,1.0956761526975751e-15
5017.3,1.096201467886219e-15
5017.4,1.096727160954147e-15
5017.5,1.0972532322638841e-15
5017.6,1.0977796821783788e-15
5017.7,1.0983065110610198e-15
5017.8,1.098833719275626e-15
5017.9,1.0993613071864672e-15
5018.0,1.0998892751582366e-15
5018.1,1.1004176235560665e-15
5018.2,1.1009463527455388e-15
5018.3,1.1014754630926648e-15
5018.4,1.102004954963893e-15
5018.5,1.1025348287261258e-15
5018.6,1.1030650847466945e-15
5018.7,1.1035957233933728e-15
5018.8,1.1041267450343879e-15
5018.9,1.1046581500383978e-15
5019.0,1.1051899387745055e-15
5019.1,1.1057221116122697e-15
5019.2,1.106254668921681e-15
5019.3,1.1067876110731776e-15
5019.4,1.107320938437655e-15
5019.5,1.1078546513864424e-15
5019.6,1.1083887502913185e-15
5019.7,1.1089232355245224e-15
5019.8,1.1094581074587266e-15
5019.9,1.1099933664670575e-15
5020.0,1.1105290129231019e-15
5020.1,1.1110650472008831e-15
5020.2,1.1116014696748803e-15
5020.3,1.1121382807200335e-15
5020.4,1.112675480711724e-15
5020.5,1.1132130700257873e-15
5020.6,1.1137510490385253e-15
5020.7,1.1142894181266809e-15
5020.8,1.1148281776674542e-15
5020.9,1.1153673280385117e-15
5021.0,1.1159068696179665e-15
5021.1,1.1164468027843917e-15
5021.2,1.1169871279168155e-15
5021.3,1.117527845394735e-15
5021.4,1.1180689555980964e-15
5021.5,1.118610458907306e-15
5021.6,1.1191523557032407e-15
5021.7,1.1196946463672297e-15
5021.8,1.1202373312810623e-15
5021.9,1.1207804108270027e-15
5022.0,1.121323885387767e-15
5022.1,1.1218677553465366e-15
5022.2,1.1224120210869658e-15
5022.3,1.1229566829931663e-15
5022.4,1.1235017414497148e-15
5022.5,1.1240471968416651e-15
