# Korg.jl Reference Spectrum - Solar-like (With Lines)
# Generated: 2025-10-05 14:04:44
# Parameters: Teff=5771.0K, logg=4.44, [M/H]=0.0
# Synthesis time: 2.6 seconds
# Wavelength range: 5000.0-5020.0 Å (2001 points)
# Line list: 41821 lines
#
# Wavelength(Å)    Flux              Continuum         NormalizedFlux
     5001.0800      1.014660e+15      1.033797e+15      0.981488
     5001.0900      1.016432e+15      1.033792e+15      0.983207
     5001.1000      1.017935e+15      1.033787e+15      0.984666
     5001.1100      1.019220e+15      1.033782e+15      0.985914
     5001.1200      1.020326e+15      1.033777e+15      0.986989
     5001.1300      1.021284e+15      1.033772e+15      0.987920
     5001.1400      1.022158e+15      1.033767e+15      0.988770
     5001.1500      1.022886e+15      1.033762e+15      0.989480
     5001.1600      1.023525e+15      1.033756e+15      0.990102
     5001.1700      1.023938e+15      1.033751e+15      0.990507
     5001.1800      1.024429e+15      1.033746e+15      0.990986
     5001.1900      1.024861e+15      1.033741e+15      0.991409
     5001.2000      1.025242e+15      1.033736e+15      0.991783
     5001.2100      1.025578e+15      1.033731e+15      0.992113
     5001.2200      1.025873e+15      1.033726e+15      0.992404
     5001.2300      1.026133e+15      1.033721e+15      0.992660
     5001.2400      1.026360e+15      1.033716e+15      0.992884
     5001.2500      1.026557e+15      1.033711e+15      0.993080
     5001.2600      1.026727e+15      1.033705e+15      0.993249
     5001.2700      1.026870e+15      1.033700e+15      0.993393
     5001.2800      1.026990e+15      1.033695e+15      0.993513
     5001.2900      1.027086e+15      1.033690e+15      0.993611
     5001.3000      1.027160e+15      1.033685e+15      0.993688
     5001.3100      1.027213e+15      1.033680e+15      0.993743
     5001.3200      1.027243e+15      1.033675e+15      0.993778
     5001.3300      1.027252e+15      1.033670e+15      0.993791
     5001.3400      1.027238e+15      1.033665e+15      0.993783
     5001.3500      1.027201e+15      1.033660e+15      0.993752
     5001.3600      1.027139e+15      1.033654e+15      0.993697
     5001.3700      1.027051e+15      1.033649e+15      0.993616
