# Korg.jl Reference Spectrum - Arcturus-like (Cool Giant) (Continuum-only)
# Generated: 2025-10-05 14:04:45
# Parameters: Teff=4250.0K, logg=1.4, [M/H]=-0.5
# Synthesis time: 0.65 seconds
# Wavelength range: 5000.0-5020.0 Å (2001 points)
# Line list: 0 lines (continuum only)
#
# Wavelength(Å)    Flux              Continuum         NormalizedFlux
     5001.0700      1.639677e+14      1.639677e+14      1.000000
     5001.0800      1.639677e+14      1.639677e+14      1.000000
     5001.0900      1.639678e+14      1.639678e+14      1.000000
     5001.1000      1.639679e+14      1.639679e+14      1.000000
     5001.1100      1.639680e+14      1.639680e+14      1.000000
     5001.1200      1.639681e+14      1.639681e+14      1.000000
     5001.1300      1.639682e+14      1.639682e+14      1.000000
     5001.1400      1.639683e+14      1.639683e+14      1.000000
     5001.1500      1.639684e+14      1.639684e+14      1.000000
     5001.1600      1.639685e+14      1.639685e+14      1.000000
     5001.1700      1.639686e+14      1.639686e+14      1.000000
     5001.1800      1.639687e+14      1.639687e+14      1.000000
     5001.1900      1.639688e+14      1.639688e+14      1.000000
     5001.2000      1.639689e+14      1.639689e+14      1.000000
     5001.2100      1.639690e+14      1.639690e+14      1.000000
     5001.2200      1.639690e+14      1.639690e+14      1.000000
     5001.2300      1.639691e+14      1.639691e+14      1.000000
     5001.2400      1.639692e+14      1.639692e+14      1.000000
     5001.2500      1.639693e+14      1.639693e+14      1.000000
     5001.2600      1.639694e+14      1.639694e+14      1.000000
     5001.2700      1.639695e+14      1.639695e+14      1.000000
     5001.2800      1.639696e+14      1.639696e+14      1.000000
     5001.2900      1.639697e+14      1.639697e+14      1.000000
     5001.3000      1.639698e+14      1.639698e+14      1.000000
     5001.3100      1.639699e+14      1.639699e+14      1.000000
     5001.3200      1.639700e+14      1.639700e+14      1.000000
     5001.3300      1.639701e+14      1.639701e+14      1.000000
     5001.3400      1.639702e+14      1.639702e+14      1.000000
     5001.3500      1.639703e+14      1.639703e+14      1.000000
     5001.3600      1.639704e+14      1.639704e+14      1.000000
     5001.3700      1.639704e+14      1.639704e+14      1.000000
     5001.3800      1.639705e+14      1.639705e+14      1.000000
     5001.3900      1.639706e+14      1.639706e+14      1.000000
     5001.4000      1.639707e+14      1.639707e+14      1.000000
     5001.4100      1.639708e+14      1.639708e+14      1.000000
     5001.4200      1.639709e+14      1.639709e+14      1.000000
     5001.4300      1.639710e+14      1.639710e+14      1.000000
     5001.4400      1.639711e+14      1.639711e+14      1.000000
     5001.4500      1.639712e+14      1.639712e+14      1.000000
     5001.4600      1.639713e+14      1.639713e+14      1.000000
     5001.4700      1.639714e+14      1.639714e+14      1.000000
     5001.4800      1.639715e+14      1.639715e+14      1.000000
     5001.4900      1.639716e+14      1.639716e+14      1.000000
     5001.5000      1.639717e+14      1.639717e+14      1.000000
     5001.5100      1.639717e+14      1.639717e+14      1.000000
     5001.5200      1.639718e+14      1.639718e+14      1.000000
     5001.5300      1.639719e+14      1.639719e+14      1.000000
     5001.5400      1.639720e+14      1.639720e+14      1.000000
     5001.5500      1.639721e+14      1.639721e+14      1.000000
     5001.5600      1.639722e+14      1.639722e+14      1.000000
     5001.5700      1.639723e+14      1.639723e+14      1.000000
     5001.5800      1.639724e+14      1.639724e+14      1.000000
     5001.5900      1.639725e+14      1.639725e+14      1.000000
     5001.6000      1.639726e+14      1.639726e+14      1.000000
     5001.6100      1.639727e+14      1.639727e+14      1.000000
     5001.6200      1.639728e+14      1.639728e+14      1.000000
     5001.6300      1.639729e+14      1.639729e+14      1.000000
     5001.6400      1.639730e+14      1.639730e+14      1.000000
     5001.6500      1.639730e+14      1.639730e+14      1.000000
     5001.6600      1.639731e+14      1.639731e+14      1.000000
     5001.6700      1.639732e+14      1.639732e+14      1.000000
     5001.6800      1.639733e+14      1.639733e+14      1.000000
     5001.6900      1.639734e+14      1.639734e+14      1.000000
     5001.7000      1.639735e+14      1.639735e+14      1.000000
     5001.7100      1.639736e+14      1.639736e+14      1.000000
     5001.7200      1.639737e+14      1.639737e+14      1.000000
     5001.7300      1.639738e+14      1.639738e+14      1.000000
     5001.7400      1.639739e+14      1.639739e+14      1.000000
     5001.7500      1.639740e+14      1.639740e+14      1.000000
     5001.7600      1.639741e+14      1.639741e+14      1.000000
     5001.7700      1.639742e+14      1.639742e+14      1.000000
     5001.7800      1.639743e+14      1.639743e+14      1.000000
     5001.7900      1.639743e+14      1.639743e+14      1.000000
     5001.8000      1.639744e+14      1.639744e+14      1.000000
     5001.8100      1.639745e+14      1.639745e+14      1.000000
     5001.8200      1.639746e+14      1.639746e+14      1.000000
     5001.8300      1.639747e+14      1.639747e+14      1.000000
     5001.8400      1.639748e+14      1.639748e+14      1.000000
     5001.8500      1.639749e+14      1.639749e+14      1.000000
     5001.8600      1.639750e+14      1.639750e+14      1.000000
     5001.8700      1.639751e+14      1.639751e+14      1.000000
     5001.8800      1.639752e+14      1.639752e+14      1.000000
     5001.8900      1.639753e+14      1.639753e+14      1.000000
     5001.9000      1.639754e+14      1.639754e+14      1.000000
     5001.9100      1.639755e+14      1.639755e+14      1.000000
     5001.9200      1.639756e+14      1.639756e+14      1.000000
     5001.9300      1.639756e+14      1.639756e+14      1.000000
     5001.9400      1.639757e+14      1.639757e+14      1.000000
     5001.9500      1.639758e+14      1.639758e+14      1.000000
     5001.9600      1.639759e+14      1.639759e+14      1.000000
     5001.9700      1.639760e+14      1.639760e+14      1.000000
     5001.9800      1.639761e+14      1.639761e+14      1.000000
     5001.9900      1.639762e+14      1.639762e+14      1.000000
     5002.0000      1.639763e+14      1.639763e+14      1.000000
     5002.0100      1.639764e+14      1.639764e+14      1.000000
     5002.0200      1.639765e+14      1.639765e+14      1.000000
     5002.0300      1.639766e+14      1.639766e+14      1.000000
     5002.0400      1.639767e+14      1.639767e+14      1.000000
     5002.0500      1.639767e+14      1.639767e+14      1.000000
     5002.0600      1.639768e+14      1.639768e+14      1.000000
     5002.0700      1.639769e+14      1.639769e+14      1.000000
     5002.0800      1.639770e+14      1.639770e+14      1.000000
     5002.0900      1.639771e+14      1.639771e+14      1.000000
     5002.1000      1.639772e+14      1.639772e+14      1.000000
     5002.1100      1.639773e+14      1.639773e+14      1.000000
     5002.1200      1.639774e+14      1.639774e+14      1.000000
     5002.1300      1.639775e+14      1.639775e+14      1.000000
     5002.1400      1.639776e+14      1.639776e+14      1.000000
     5002.1500      1.639776e+14      1.639776e+14      1.000000
     5002.1600      1.639777e+14      1.639777e+14      1.000000
     5002.1700      1.639778e+14      1.639778e+14      1.000000
     5002.1800      1.639779e+14      1.639779e+14      1.000000
     5002.1900      1.639780e+14      1.639780e+14      1.000000
     5002.2000      1.639781e+14      1.639781e+14      1.000000
     5002.2100      1.639782e+14      1.639782e+14      1.000000
     5002.2200      1.639783e+14      1.639783e+14      1.000000
     5002.2300      1.639784e+14      1.639784e+14      1.000000
     5002.2400      1.639784e+14      1.639784e+14      1.000000
     5002.2500      1.639785e+14      1.639785e+14      1.000000
     5002.2600      1.639786e+14      1.639786e+14      1.000000
     5002.2700      1.639787e+14      1.639787e+14      1.000000
     5002.2800      1.639788e+14      1.639788e+14      1.000000
     5002.2900      1.639789e+14      1.639789e+14      1.000000
     5002.3000      1.639790e+14      1.639790e+14      1.000000
     5002.3100      1.639791e+14      1.639791e+14      1.000000
     5002.3200      1.639792e+14      1.639792e+14      1.000000
     5002.3300      1.639793e+14      1.639793e+14      1.000000
     5002.3400      1.639793e+14      1.639793e+14      1.000000
     5002.3500      1.639794e+14      1.639794e+14      1.000000
     5002.3600      1.639795e+14      1.639795e+14      1.000000
     5002.3700      1.639796e+14      1.639796e+14      1.000000
     5002.3800      1.639797e+14      1.639797e+14      1.000000
     5002.3900      1.639798e+14      1.639798e+14      1.000000
     5002.4000      1.639799e+14      1.639799e+14      1.000000
     5002.4100      1.639800e+14      1.639800e+14      1.000000
     5002.4200      1.639801e+14      1.639801e+14      1.000000
     5002.4300      1.639801e+14      1.639801e+14      1.000000
     5002.4400      1.639802e+14      1.639802e+14      1.000000
     5002.4500      1.639803e+14      1.639803e+14      1.000000
     5002.4600      1.639804e+14      1.639804e+14      1.000000
     5002.4700      1.639805e+14      1.639805e+14      1.000000
     5002.4800      1.639806e+14      1.639806e+14      1.000000
     5002.4900      1.639807e+14      1.639807e+14      1.000000
     5002.5000      1.639808e+14      1.639808e+14      1.000000
     5002.5100      1.639809e+14      1.639809e+14      1.000000
     5002.5200      1.639810e+14      1.639810e+14      1.000000
     5002.5300      1.639810e+14      1.639810e+14      1.000000
     5002.5400      1.639811e+14      1.639811e+14      1.000000
     5002.5500      1.639812e+14      1.639812e+14      1.000000
     5002.5600      1.639813e+14      1.639813e+14      1.000000
     5002.5700      1.639814e+14      1.639814e+14      1.000000
     5002.5800      1.639815e+14      1.639815e+14      1.000000
     5002.5900      1.639816e+14      1.639816e+14      1.000000
     5002.6000      1.639817e+14      1.639817e+14      1.000000
     5002.6100      1.639818e+14      1.639818e+14      1.000000
     5002.6200      1.639818e+14      1.639818e+14      1.000000
     5002.6300      1.639819e+14      1.639819e+14      1.000000
     5002.6400      1.639820e+14      1.639820e+14      1.000000
     5002.6500      1.639821e+14      1.639821e+14      1.000000
     5002.6600      1.639822e+14      1.639822e+14      1.000000
     5002.6700      1.639823e+14      1.639823e+14      1.000000
     5002.6800      1.639824e+14      1.639824e+14      1.000000
     5002.6900      1.639825e+14      1.639825e+14      1.000000
     5002.7000      1.639826e+14      1.639826e+14      1.000000
     5002.7100      1.639827e+14      1.639827e+14      1.000000
     5002.7200      1.639827e+14      1.639827e+14      1.000000
     5002.7300      1.639828e+14      1.639828e+14      1.000000
     5002.7400      1.639829e+14      1.639829e+14      1.000000
     5002.7500      1.639830e+14      1.639830e+14      1.000000
     5002.7600      1.639831e+14      1.639831e+14      1.000000
     5002.7700      1.639832e+14      1.639832e+14      1.000000
