# Korg.jl Reference Spectrum - Metal-poor K Giant (With Lines)
# Generated: 2025-10-05 14:04:46
# Parameters: Teff=4500.0K, logg=1.5, [M/H]=-2.5
# Synthesis time: 0.12 seconds
# Wavelength range: 5000.0-5020.0 Å (2001 points)
# Line list: 41821 lines
#
# Wavelength(Å)    Flux              Continuum         NormalizedFlux
     5001.0800      1.802259e+14      1.803263e+14      0.999443
     5001.0900      1.802369e+14      1.803270e+14      0.999501
     5001.1000      1.802464e+14      1.803276e+14      0.999550
     5001.1100      1.802546e+14      1.803282e+14      0.999592
     5001.1200      1.802618e+14      1.803288e+14      0.999628
     5001.1300      1.802682e+14      1.803295e+14      0.999660
     5001.1400      1.802738e+14      1.803301e+14      0.999688
     5001.1500      1.802788e+14      1.803307e+14      0.999712
     5001.1600      1.802834e+14      1.803313e+14      0.999734
     5001.1700      1.802875e+14      1.803320e+14      0.999753
     5001.1800      1.802912e+14      1.803326e+14      0.999771
     5001.1900      1.802946e+14      1.803332e+14      0.999786
     5001.2000      1.802977e+14      1.803338e+14      0.999800
     5001.2100      1.803006e+14      1.803345e+14      0.999812
     5001.2200      1.803033e+14      1.803351e+14      0.999824
     5001.2300      1.803058e+14      1.803357e+14      0.999834
     5001.2400      1.803082e+14      1.803363e+14      0.999844
     5001.2500      1.803103e+14      1.803370e+14      0.999852
     5001.2600      1.803124e+14      1.803376e+14      0.999860
     5001.2700      1.803378e+14      1.803382e+14      0.999998
     5001.2800      1.803384e+14      1.803388e+14      0.999998
     5001.2900      1.803390e+14      1.803395e+14      0.999998
     5001.3000      1.803396e+14      1.803401e+14      0.999998
     5001.3100      1.803403e+14      1.803407e+14      0.999998
     5001.3200      1.803409e+14      1.803413e+14      0.999998
     5001.3300      1.803415e+14      1.803419e+14      0.999998
     5001.3400      1.803421e+14      1.803426e+14      0.999998
     5001.3500      1.803428e+14      1.803432e+14      0.999998
     5001.3600      1.803434e+14      1.803438e+14      0.999998
     5001.3700      1.803440e+14      1.803444e+14      0.999998
     5001.3800      1.803446e+14      1.803451e+14      0.999998
     5001.3900      1.803453e+14      1.803457e+14      0.999998
     5001.4000      1.803459e+14      1.803463e+14      0.999998
     5001.4100      1.803465e+14      1.803469e+14      0.999998
     5001.4200      1.803471e+14      1.803476e+14      0.999998
     5001.4300      1.803478e+14      1.803482e+14      0.999998
     5001.4400      1.803484e+14      1.803488e+14      0.999998
     5001.4500      1.803490e+14      1.803494e+14      0.999998
     5001.4600      1.803496e+14      1.803501e+14      0.999998
     5001.4700      1.803503e+14      1.803507e+14      0.999998
     5001.4800      1.803509e+14      1.803513e+14      0.999998
     5001.4900      1.803515e+14      1.803519e+14      0.999998
     5001.5000      1.803521e+14      1.803526e+14      0.999998
     5001.5100      1.803527e+14      1.803532e+14      0.999998
     5001.5200      1.803534e+14      1.803538e+14      0.999998
     5001.5300      1.803540e+14      1.803544e+14      0.999998
     5001.5400      1.803302e+14      1.803551e+14      0.999862
     5001.5500      1.802851e+14      1.803557e+14      0.999608
     5001.5600      1.801052e+14      1.803563e+14      0.998608
     5001.5700      1.795484e+14      1.803569e+14      0.995517
     5001.5800      1.783217e+14      1.803576e+14      0.988712
     5001.5900      1.765332e+14      1.803582e+14      0.978792
     5001.6000      1.750527e+14      1.803588e+14      0.970580
     5001.6100      1.749237e+14      1.803594e+14      0.969862
     5001.6200      1.762458e+14      1.803601e+14      0.977189
     5001.6300      1.780631e+14      1.803607e+14      0.987261
     5001.6400      1.793869e+14      1.803613e+14      0.994598
     5001.6500      1.800301e+14      1.803619e+14      0.998160
