# Korg.jl Reference Spectrum - Metal-poor K Giant (Continuum-only)
# Generated: 2025-10-05 14:04:46
# Parameters: Teff=4500.0K, logg=1.5, [M/H]=-2.5
# Synthesis time: 0.11 seconds
# Wavelength range: 5000.0-5020.0 Å (2001 points)
# Line list: 0 lines (continuum only)
#
# Wavelength(Å)    Flux              Continuum         NormalizedFlux
     5001.0700      1.803257e+14      1.803257e+14      1.000000
     5001.0800      1.803263e+14      1.803263e+14      1.000000
     5001.0900      1.803270e+14      1.803270e+14      1.000000
     5001.1000      1.803276e+14      1.803276e+14      1.000000
     5001.1100      1.803282e+14      1.803282e+14      1.000000
     5001.1200      1.803288e+14      1.803288e+14      1.000000
     5001.1300      1.803295e+14      1.803295e+14      1.000000
     5001.1400      1.803301e+14      1.803301e+14      1.000000
     5001.1500      1.803307e+14      1.803307e+14      1.000000
     5001.1600      1.803313e+14      1.803313e+14      1.000000
     5001.1700      1.803320e+14      1.803320e+14      1.000000
     5001.1800      1.803326e+14      1.803326e+14      1.000000
     5001.1900      1.803332e+14      1.803332e+14      1.000000
     5001.2000      1.803338e+14      1.803338e+14      1.000000
     5001.2100      1.803345e+14      1.803345e+14      1.000000
     5001.2200      1.803351e+14      1.803351e+14      1.000000
     5001.2300      1.803357e+14      1.803357e+14      1.000000
     5001.2400      1.803363e+14      1.803363e+14      1.000000
     5001.2500      1.803370e+14      1.803370e+14      1.000000
     5001.2600      1.803376e+14      1.803376e+14      1.000000
     5001.2700      1.803382e+14      1.803382e+14      1.000000
     5001.2800      1.803388e+14      1.803388e+14      1.000000
     5001.2900      1.803395e+14      1.803395e+14      1.000000
     5001.3000      1.803401e+14      1.803401e+14      1.000000
     5001.3100      1.803407e+14      1.803407e+14      1.000000
     5001.3200      1.803413e+14      1.803413e+14      1.000000
     5001.3300      1.803419e+14      1.803419e+14      1.000000
     5001.3400      1.803426e+14      1.803426e+14      1.000000
     5001.3500      1.803432e+14      1.803432e+14      1.000000
     5001.3600      1.803438e+14      1.803438e+14      1.000000
     5001.3700      1.803444e+14      1.803444e+14      1.000000
     5001.3800      1.803451e+14      1.803451e+14      1.000000
     5001.3900      1.803457e+14      1.803457e+14      1.000000
     5001.4000      1.803463e+14      1.803463e+14      1.000000
     5001.4100      1.803469e+14      1.803469e+14      1.000000
     5001.4200      1.803476e+14      1.803476e+14      1.000000
     5001.4300      1.803482e+14      1.803482e+14      1.000000
     5001.4400      1.803488e+14      1.803488e+14      1.000000
     5001.4500      1.803494e+14      1.803494e+14      1.000000
     5001.4600      1.803501e+14      1.803501e+14      1.000000
     5001.4700      1.803507e+14      1.803507e+14      1.000000
     5001.4800      1.803513e+14      1.803513e+14      1.000000
     5001.4900      1.803519e+14      1.803519e+14      1.000000
     5001.5000      1.803526e+14      1.803526e+14      1.000000
     5001.5100      1.803532e+14      1.803532e+14      1.000000
     5001.5200      1.803538e+14      1.803538e+14      1.000000
     5001.5300      1.803544e+14      1.803544e+14      1.000000
     5001.5400      1.803551e+14      1.803551e+14      1.000000
     5001.5500      1.803557e+14      1.803557e+14      1.000000
     5001.5600      1.803563e+14      1.803563e+14      1.000000
     5001.5700      1.803569e+14      1.803569e+14      1.000000
     5001.5800      1.803576e+14      1.803576e+14      1.000000
     5001.5900      1.803582e+14      1.803582e+14      1.000000
     5001.6000      1.803588e+14      1.803588e+14      1.000000
     5001.6100      1.803594e+14      1.803594e+14      1.000000
     5001.6200      1.803601e+14      1.803601e+14      1.000000
     5001.6300      1.803607e+14      1.803607e+14      1.000000
     5001.6400      1.803613e+14      1.803613e+14      1.000000
     5001.6500      1.803619e+14      1.803619e+14      1.000000
     5001.6600      1.803625e+14      1.803625e+14      1.000000
     5001.6700      1.803632e+14      1.803632e+14      1.000000
     5001.6800      1.803638e+14      1.803638e+14      1.000000
     5001.6900      1.803644e+14      1.803644e+14      1.000000
     5001.7000      1.803650e+14      1.803650e+14      1.000000
     5001.7100      1.803657e+14      1.803657e+14      1.000000
     5001.7200      1.803663e+14      1.803663e+14      1.000000
     5001.7300      1.803669e+14      1.803669e+14      1.000000
     5001.7400      1.803675e+14      1.803675e+14      1.000000
     5001.7500      1.803682e+14      1.803682e+14      1.000000
     5001.7600      1.803688e+14      1.803688e+14      1.000000
     5001.7700      1.803694e+14      1.803694e+14      1.000000
     5001.7800      1.803700e+14      1.803700e+14      1.000000
     5001.7900      1.803707e+14      1.803707e+14      1.000000
     5001.8000      1.803713e+14      1.803713e+14      1.000000
     5001.8100      1.803719e+14      1.803719e+14      1.000000
     5001.8200      1.803725e+14      1.803725e+14      1.000000
     5001.8300      1.803732e+14      1.803732e+14      1.000000
     5001.8400      1.803738e+14      1.803738e+14      1.000000
     5001.8500      1.803744e+14      1.803744e+14      1.000000
     5001.8600      1.803750e+14      1.803750e+14      1.000000
     5001.8700      1.803757e+14      1.803757e+14      1.000000
     5001.8800      1.803763e+14      1.803763e+14      1.000000
