# Korg.jl Reference Spectrum - Arcturus-like (Cool Giant) (With Lines)
# Generated: 2025-10-05 14:04:46
# Parameters: Teff=4250.0K, logg=1.4, [M/H]=-0.5
# Synthesis time: 0.28 seconds
# Wavelength range: 5000.0-5020.0 Å (2001 points)
# Line list: 41821 lines
#
# Wavelength(Å)    Flux              Continuum         NormalizedFlux
     5001.0700      1.482267e+14      1.633821e+14      0.907240
     5001.0800      1.497937e+14      1.633821e+14      0.916830
     5001.0900      1.511242e+14      1.633822e+14      0.924973
     5001.1000      1.522689e+14      1.633823e+14      0.931979
     5001.1100      1.532604e+14      1.633824e+14      0.938047
     5001.1200      1.541247e+14      1.633825e+14      0.943336
     5001.1300      1.548825e+14      1.633826e+14      0.947974
     5001.1400      1.555506e+14      1.633827e+14      0.952063
     5001.1500      1.561424e+14      1.633828e+14      0.955684
     5001.1600      1.566691e+14      1.633829e+14      0.958907
     5001.1700      1.571398e+14      1.633830e+14      0.961788
     5001.1800      1.575622e+14      1.633831e+14      0.964373
     5001.1900      1.579426e+14      1.633832e+14      0.966700
     5001.2000      1.582863e+14      1.633833e+14      0.968804
     5001.2100      1.585980e+14      1.633834e+14      0.970711
     5001.2200      1.588814e+14      1.633835e+14      0.972445
     5001.2300      1.591399e+14      1.633835e+14      0.974027
     5001.2400      1.593763e+14      1.633836e+14      0.975473
     5001.2500      1.595930e+14      1.633837e+14      0.976799
     5001.2600      1.597592e+14      1.633838e+14      0.977815
     5001.2700      1.599412e+14      1.633839e+14      0.978928
     5001.2800      1.601089e+14      1.633840e+14      0.979954
     5001.2900      1.602638e+14      1.633841e+14      0.980902
     5001.3000      1.604071e+14      1.633842e+14      0.981778
     5001.3100      1.605398e+14      1.633843e+14      0.982590
     5001.3200      1.606314e+14      1.633844e+14      0.983150
     5001.3300      1.607435e+14      1.633845e+14      0.983836
     5001.3400      1.608473e+14      1.633846e+14      0.984471
     5001.3500      1.609435e+14      1.633847e+14      0.985059
     5001.3600      1.610325e+14      1.633848e+14      0.985603
     5001.3700      1.611149e+14      1.633849e+14      0.986107
     5001.3800      1.611827e+14      1.633850e+14      0.986521
     5001.3900      1.612526e+14      1.633850e+14      0.986949
     5001.4000      1.613168e+14      1.633851e+14      0.987341
     5001.4100      1.613753e+14      1.633852e+14      0.987698
     5001.4200      1.614283e+14      1.633853e+14      0.988022
     5001.4300      1.614432e+14      1.633854e+14      0.988113
     5001.4400      1.614825e+14      1.633855e+14      0.988353
     5001.4500      1.615155e+14      1.633856e+14      0.988554
