# Korg.jl Reference Spectrum - Solar-like (Continuum-only)
# Generated: 2025-10-05 14:04:41
# Parameters: Teff=5771.0K, logg=4.44, [M/H]=0.0
# Synthesis time: 12.51 seconds
# Wavelength range: 5000.0-5020.0 Å (2001 points)
# Line list: 0 lines (continuum only)
#
# Wavelength(Å)    Flux              Continuum         NormalizedFlux
     5001.0800      1.033857e+15      1.033857e+15      1.000000
     5001.0900      1.033852e+15      1.033852e+15      1.000000
     5001.1000      1.033847e+15      1.033847e+15      1.000000
     5001.1100      1.033842e+15      1.033842e+15      1.000000
     5001.1200      1.033837e+15      1.033837e+15      1.000000
     5001.1300      1.033832e+15      1.033832e+15      1.000000
     5001.1400      1.033827e+15      1.033827e+15      1.000000
     5001.1500      1.033822e+15      1.033822e+15      1.000000
     5001.1600      1.033817e+15      1.033817e+15      1.000000
     5001.1700      1.033812e+15      1.033812e+15      1.000000
     5001.1800      1.033807e+15      1.033807e+15      1.000000
     5001.1900      1.033801e+15      1.033801e+15      1.000000
     5001.2000      1.033796e+15      1.033796e+15      1.000000
     5001.2100      1.033791e+15      1.033791e+15      1.000000
     5001.2200      1.033786e+15      1.033786e+15      1.000000
     5001.2300      1.033781e+15      1.033781e+15      1.000000
     5001.2400      1.033776e+15      1.033776e+15      1.000000
     5001.2500      1.033771e+15      1.033771e+15      1.000000
     5001.2600      1.033766e+15      1.033766e+15      1.000000
     5001.2700      1.033761e+15      1.033761e+15      1.000000
     5001.2800      1.033756e+15      1.033756e+15      1.000000
     5001.2900      1.033750e+15      1.033750e+15      1.000000
     5001.3000      1.033745e+15      1.033745e+15      1.000000
     5001.3100      1.033740e+15      1.033740e+15      1.000000
     5001.3200      1.033735e+15      1.033735e+15      1.000000
     5001.3300      1.033730e+15      1.033730e+15      1.000000
     5001.3400      1.033725e+15      1.033725e+15      1.000000
     5001.3500      1.033720e+15      1.033720e+15      1.000000
     5001.3600      1.033715e+15      1.033715e+15      1.000000
     5001.3700      1.033710e+15      1.033710e+15      1.000000
     5001.3800      1.033705e+15      1.033705e+15      1.000000
     5001.3900      1.033699e+15      1.033699e+15      1.000000
     5001.4000      1.033694e+15      1.033694e+15      1.000000
     5001.4100      1.033689e+15      1.033689e+15      1.000000
     5001.4200      1.033684e+15      1.033684e+15      1.000000
     5001.4300      1.033679e+15      1.033679e+15      1.000000
     5001.4400      1.033674e+15      1.033674e+15      1.000000
     5001.4500      1.033669e+15      1.033669e+15      1.000000
     5001.4600      1.033664e+15      1.033664e+15      1.000000
     5001.4700      1.033659e+15      1.033659e+15      1.000000
     5001.4800      1.033654e+15      1.033654e+15      1.000000
     5001.4900      1.033648e+15      1.033648e+15      1.000000
     5001.5000      1.033643e+15      1.033643e+15      1.000000
     5001.5100      1.033638e+15      1.033638e+15      1.000000
     5001.5200      1.033633e+15      1.033633e+15      1.000000
     5001.5300      1.033628e+15      1.033628e+15      1.000000
     5001.5400      1.033623e+15      1.033623e+15      1.000000
     5001.5500      1.033618e+15      1.033618e+15      1.000000
     5001.5600      1.033613e+15      1.033613e+15      1.000000
     5001.5700      1.033608e+15      1.033608e+15      1.000000
     5001.5800      1.033603e+15      1.033603e+15      1.000000
     5001.5900      1.033597e+15      1.033597e+15      1.000000
     5001.6000      1.033592e+15      1.033592e+15      1.000000
     5001.6100      1.033587e+15      1.033587e+15      1.000000
     5001.6200      1.033582e+15      1.033582e+15      1.000000
     5001.6300      1.033577e+15      1.033577e+15      1.000000
     5001.6400      1.033572e+15      1.033572e+15      1.000000
     5001.6500      1.033567e+15      1.033567e+15      1.000000
     5001.6600      1.033562e+15      1.033562e+15      1.000000
     5001.6700      1.033557e+15      1.033557e+15      1.000000
     5001.6800      1.033552e+15      1.033552e+15      1.000000
     5001.6900      1.033547e+15      1.033547e+15      1.000000
     5001.7000      1.033541e+15      1.033541e+15      1.000000
     5001.7100      1.033536e+15      1.033536e+15      1.000000
     5001.7200      1.033531e+15      1.033531e+15      1.000000
