# wavelength(A) flux continuum rectified_flux
6563.820000 3.116586423625e+14 3.876510107259e+14 8.039670573253e-01
6563.830000 3.109671082344e+14 3.876504338916e+14 8.021843419923e-01
6563.840000 3.102595201275e+14 3.876498570561e+14 8.003602077493e-01
6563.850000 3.095346024044e+14 3.876492802195e+14 7.984913637118e-01
6563.860000 3.087930447356e+14 3.876487033817e+14 7.965795887921e-01
6563.870000 3.080344915700e+14 3.876481265427e+14 7.946239655980e-01
6563.880000 3.072367345541e+14 3.876475497025e+14 7.925672038684e-01
6563.890000 3.064061805655e+14 3.876469728611e+14 7.904258307604e-01
6563.900000 3.055542334856e+14 3.876463960185e+14 7.882292641541e-01
6563.910000 3.046764435685e+14 3.876458191748e+14 7.859660249067e-01
6563.920000 3.037731192504e+14 3.876452423298e+14 7.836369083873e-01
6563.930000 3.028451854618e+14 3.876446654837e+14 7.812443003284e-01
6563.940000 3.018897379025e+14 3.876440886363e+14 7.787807082638e-01
6563.950000 3.009032711609e+14 3.876435117878e+14 7.762370890026e-01
6563.960000 2.998740013272e+14 3.876429349381e+14 7.735830433105e-01
6563.970000 2.988020865662e+14 3.876423580871e+14 7.708189787119e-01
6563.980000 2.976455868620e+14 3.876417812351e+14 7.678367020028e-01
6563.990000 2.964271863007e+14 3.876412043819e+14 7.646947304618e-01
6564.000000 2.951919275977e+14 3.876406275274e+14 7.615092604730e-01
6564.010000 2.938927431922e+14 3.876400523084e+14 7.581588678519e-01
6564.020000 2.925550334174e+14 3.876394770882e+14 7.547090807544e-01
6564.030000 2.911734412593e+14 3.876389018668e+14 7.511460791396e-01
6564.040000 2.897305139609e+14 3.876383266443e+14 7.474248392027e-01
6564.050000 2.881949201434e+14 3.876377514205e+14 7.434645338007e-01
6564.060000 2.865264422778e+14 3.876371761955e+14 7.391614114260e-01
6564.070000 2.847418185620e+14 3.876366009693e+14 7.345586506794e-01
6564.080000 2.828247164647e+14 3.876360257420e+14 7.296141165500e-01
6564.090000 2.807848651966e+14 3.876354505133e+14 7.243529063836e-01
6564.100000 2.786315819469e+14 3.876348752835e+14 7.187990547630e-01
6564.110000 2.763152037254e+14 3.876343000525e+14 7.128244422334e-01
6564.120000 2.738156377074e+14 3.876337248204e+14 7.063772323585e-01
6564.130000 2.711128409885e+14 3.876331495869e+14 6.994057171771e-01
6564.140000 2.682335058634e+14 3.876325743524e+14 6.919787541372e-01
6564.150000 2.651974030664e+14 3.876319991166e+14 6.841473450870e-01
6564.160000 2.620217244396e+14 3.876314238796e+14 6.759558392278e-01
6564.170000 2.586792044204e+14 3.876308486414e+14 6.673338959658e-01
6564.180000 2.551611869941e+14 3.876302734019e+14 6.582591827897e-01
6564.190000 2.514729245967e+14 3.876296981614e+14 6.487452478216e-01
6564.200000 2.476513279240e+14 3.876291229197e+14 6.388873107848e-01
6564.210000 2.437062342934e+14 3.876285476766e+14 6.287107483547e-01
6564.220000 2.396879323575e+14 3.876279724324e+14 6.183452934354e-01
6564.230000 2.355873566467e+14 3.876273971871e+14 6.077675581146e-01
6564.240000 2.314148929823e+14 3.876268219404e+14 5.970043347978e-01
6564.250000 2.272110789422e+14 3.876262466926e+14 5.861602016914e-01
6564.260000 2.230240217420e+14 3.876256714437e+14 5.753592658385e-01
6564.270000 2.188289256735e+14 3.876250961935e+14 5.645375591580e-01
6564.280000 2.146514584441e+14 3.876245209421e+14 5.537612995237e-01
6564.290000 2.105474216034e+14 3.876239456895e+14 5.431744450899e-01
6564.300000 2.065027942108e+14 3.876233704357e+14 5.327408251433e-01
6564.310000 2.025157552691e+14 3.876227951807e+14 5.224557425079e-01
6564.320000 1.986492466840e+14 3.876222199246e+14 5.124815773530e-01
6564.330000 1.948749271177e+14 3.876216446672e+14 5.027452150795e-01
6564.340000 1.912052386368e+14 3.876210694086e+14 4.932787552765e-01
6564.350000 1.876768044207e+14 3.876204941488e+14 4.841766811966e-01
6564.360000 1.842517751798e+14 3.876199188878e+14 4.753413490938e-01
6564.370000 1.810128094338e+14 3.876193436256e+14 4.669860067888e-01
6564.380000 1.778565341536e+14 3.876187683623e+14 4.588439690499e-01
6564.390000 1.749096832755e+14 3.876181930977e+14 4.512421924206e-01
6564.400000 1.720524154235e+14 3.876176178319e+14 4.438715050825e-01
6564.410000 1.693989038483e+14 3.876170425648e+14 4.370264597434e-01
6564.420000 1.668678007713e+14 3.876164672968e+14 4.304971920699e-01
6564.430000 1.644725111415e+14 3.876158920274e+14 4.243182865420e-01
6564.440000 1.622686898413e+14 3.876153167567e+14 4.186333274934e-01
6564.450000 1.601965302640e+14 3.876147414849e+14 4.132880231806e-01
6564.460000 1.582609933060e+14 3.876141662120e+14 4.082951736584e-01
6564.470000 1.564792576923e+14 3.876135909378e+14 4.036990996980e-01
6564.480000 1.548360954952e+14 3.876130156624e+14 3.994605166459e-01
6564.490000 1.533319390634e+14 3.876124403858e+14 3.955805415088e-01
6564.500000 1.519653425961e+14 3.876118651080e+14 3.920554458613e-01
6564.510000 1.507541678568e+14 3.876112898291e+14 3.889313129226e-01
6564.520000 1.496637700080e+14 3.876107145490e+14 3.861187639824e-01
6564.530000 1.487496708296e+14 3.876101392676e+14 3.837610417278e-01
6564.540000 1.479576001306e+14 3.876095639850e+14 3.817181356659e-01
6564.550000 1.472833677236e+14 3.876089887012e+14 3.799792368520e-01
6564.560000 1.467070869908e+14 3.876084134162e+14 3.784930406897e-01
6564.570000 1.461990879273e+14 3.876078381300e+14 3.771830018523e-01
6564.580000 1.457340768731e+14 3.876072628427e+14 3.759838652256e-01
6564.590000 1.453521634956e+14 3.876066875541e+14 3.749991116324e-01
6564.600000 1.451400491234e+14 3.876061122643e+14 3.744524261383e-01
6564.610000 1.450835715158e+14 3.876055369734e+14 3.743072729267e-01
6564.620000 1.451407440339e+14 3.876049616813e+14 3.744553305105e-01
6564.630000 1.453538306451e+14 3.876043863878e+14 3.750056391253e-01
6564.640000 1.457364471249e+14 3.876038110933e+14 3.759933286359e-01
6564.650000 1.462018225940e+14 3.876032357975e+14 3.771945357814e-01
6564.660000 1.467102264863e+14 3.876026605006e+14 3.785067581754e-01
6564.670000 1.472870404550e+14 3.876020852024e+14 3.799954801019e-01
6564.680000 1.479619165348e+14 3.876015099030e+14 3.817372036859e-01
6564.690000 1.487547793713e+14 3.876009346024e+14 3.837833351043e-01
6564.700000 1.496692987188e+14 3.876003593007e+14 3.861433435944e-01
6564.710000 1.507605655977e+14 3.875997839977e+14 3.889593643287e-01
6564.720000 1.519724335207e+14 3.875992086936e+14 3.920865422633e-01
6564.730000 1.533395684592e+14 3.875986333883e+14 3.956143165902e-01
6564.740000 1.548442939714e+14 3.875980580817e+14 3.994970840096e-01
6564.750000 1.564880691785e+14 3.875974827739e+14 4.037386106291e-01
6564.760000 1.582704290449e+14 3.875969074650e+14 4.083376982548e-01
6564.770000 1.602064661753e+14 3.875963321548e+14 4.133332874556e-01
6564.780000 1.622793546322e+14 3.875957568435e+14 4.186819689508e-01
6564.790000 1.644835997809e+14 3.875951815309e+14 4.243695680923e-01
6564.800000 1.668791975962e+14 3.875946062172e+14 4.305508769199e-01
6564.810000 1.694110051879e+14 3.875940309022e+14 4.370836279226e-01
6564.820000 1.720646122481e+14 3.875934555861e+14 4.439306437409e-01
6564.830000 1.749224921446e+14 3.875928802688e+14 4.513047092695e-01
6564.840000 1.778698719478e+14 3.875923049502e+14 4.589097091869e-01
6564.850000 1.810256764302e+14 3.875917296305e+14 4.670524745272e-01
6564.860000 1.842646786925e+14 3.875911543097e+14 4.754099174958e-01
6564.870000 1.876898314501e+14 3.875905789875e+14 4.842476613864e-01
6564.880000 1.912181448954e+14 3.875900036641e+14 4.933515908246e-01
6564.890000 1.948876877065e+14 3.875894283396e+14 5.028199260786e-01
6564.900000 1.986616552714e+14 3.875888530138e+14 5.125577109006e-01
6564.910000 2.025276038838e+14 3.875882776869e+14 5.225328410149e-01
6564.920000 2.065140004840e+14 3.875877023588e+14 5.328187639268e-01
6564.930000 2.105577496873e+14 3.875871270295e+14 5.432526908235e-01
6564.940000 2.146606485214e+14 3.875865516989e+14 5.538392588197e-01
6564.950000 2.188363910256e+14 3.875859763673e+14 5.646138002120e-01
6564.960000 2.230297209062e+14 3.875854010343e+14 5.754337503711e-01
6564.970000 2.272146678482e+14 3.875848257002e+14 5.862321039988e-01
6564.980000 2.314159877112e+14 3.875842503649e+14 5.970727332014e-01
6564.990000 2.355855055064e+14 3.875836750283e+14 6.078313424557e-01
6565.000000 2.396826162564e+14 3.875830996906e+14 6.184031668246e-01
