# wavelength(A) flux continuum rectified_flux
6560.310000 3.721421441579e+14 3.878535408828e+14 9.594914186187e-01
6560.320000 3.720967617882e+14 3.878529639270e+14 9.593758367109e-01
6560.330000 3.720508567258e+14 3.878523869701e+14 9.592589068030e-01
6560.340000 3.720044668115e+14 3.878518100119e+14 9.591407264547e-01
6560.350000 3.719576239295e+14 3.878512330525e+14 9.590213778672e-01
6560.360000 3.719103550611e+14 3.878506560920e+14 9.589009306016e-01
6560.370000 3.718626831278e+14 3.878500791302e+14 9.587794437524e-01
6560.380000 3.718146276699e+14 3.878495021673e+14 9.586569676953e-01
6560.390000 3.717662053944e+14 3.878489252032e+14 9.585335455026e-01
6560.400000 3.717174306230e+14 3.878483482380e+14 9.584092140957e-01
6560.410000 3.716683156596e+14 3.878477712714e+14 9.582840051942e-01
6560.420000 3.716188710914e+14 3.878471943038e+14 9.581579460915e-01
6560.430000 3.715691060405e+14 3.878466173348e+14 9.580310603038e-01
6560.440000 3.715190283715e+14 3.878460403647e+14 9.579033681048e-01
6560.450000 3.714894724096e+14 3.878454633936e+14 9.578285876005e-01
6560.460000 3.714378193896e+14 3.878448864211e+14 9.576968329197e-01
6560.470000 3.713859365875e+14 3.878443094475e+14 9.575644853900e-01
6560.480000 3.713338226367e+14 3.878437324727e+14 9.574315414851e-01
6560.490000 3.712814761610e+14 3.878431554967e+14 9.572979976546e-01
6560.500000 3.712288957741e+14 3.878425785194e+14 9.571638503212e-01
6560.510000 3.711760800806e+14 3.878420015410e+14 9.570290958839e-01
6560.520000 3.711230276744e+14 3.878414245615e+14 9.568937307148e-01
6560.530000 3.710697371404e+14 3.878408475807e+14 9.567577511627e-01
6560.540000 3.710162070532e+14 3.878402705988e+14 9.566211535495e-01
6560.550000 3.709624359785e+14 3.878396936156e+14 9.564839341747e-01
6560.560000 3.709084224415e+14 3.878391166313e+14 9.563460892319e-01
6560.570000 3.708541646486e+14 3.878385396458e+14 9.562076140945e-01
6560.580000 3.707996615043e+14 3.878379626590e+14 9.560685059351e-01
6560.590000 3.707449115603e+14 3.878373856711e+14 9.559287610163e-01
6560.600000 3.706899133120e+14 3.878368086820e+14 9.557883754555e-01
6560.610000 3.706346652683e+14 3.878362316917e+14 9.556473454057e-01
6560.620000 3.705791654817e+14 3.878356547002e+14 9.555056658424e-01
6560.630000 3.705234057438e+14 3.878350777076e+14 9.553633155977e-01
6560.640000 3.704673953004e+14 3.878345007137e+14 9.552203185086e-01
6560.650000 3.704111287589e+14 3.878339237187e+14 9.550766606677e-01
6560.660000 3.703546045366e+14 3.878333467224e+14 9.549323379912e-01
6560.670000 3.702978210390e+14 3.878327697249e+14 9.547873463649e-01
6560.680000 3.702407766605e+14 3.878321927263e+14 9.546416816454e-01
6560.690000 3.701834697835e+14 3.878316157266e+14 9.544953396592e-01
6560.700000 3.701279529498e+14 3.878310387256e+14 9.543536127642e-01
6560.710000 3.700701190869e+14 3.878304617234e+14 9.542059111151e-01
6560.720000 3.700120179736e+14 3.878298847200e+14 9.540575199374e-01
6560.730000 3.699487926656e+14 3.878293077154e+14 9.538959158214e-01
6560.740000 3.698900987015e+14 3.878287307096e+14 9.537459951065e-01
6560.750000 3.698311315199e+14 3.878281537027e+14 9.535953694673e-01
6560.760000 3.697718893948e+14 3.878275766946e+14 9.534440344504e-01
6560.770000 3.697123625103e+14 3.878269996852e+14 9.532919647431e-01
6560.780000 3.696525236911e+14 3.878264226748e+14 9.531390902704e-01
6560.790000 3.695924048852e+14 3.878258456630e+14 9.529854934072e-01
6560.800000 3.695320043203e+14 3.878252686501e+14 9.528311695792e-01
6560.810000 3.694713202100e+14 3.878246916360e+14 9.526761141779e-01
6560.820000 3.694103507557e+14 3.878241146207e+14 9.525203225616e-01
6560.830000 3.693490941454e+14 3.878235376044e+14 9.523637900550e-01
6560.840000 3.692875485542e+14 3.878229605867e+14 9.522065119495e-01
6560.850000 3.692257121442e+14 3.878223835679e+14 9.520484835027e-01
6560.860000 3.691635830647e+14 3.878218065479e+14 9.518896999392e-01
6560.870000 3.691011506698e+14 3.878212295266e+14 9.517301338051e-01
6560.880000 3.690384211145e+14 3.878206525042e+14 9.515698009675e-01
6560.890000 3.689753934621e+14 3.878200754806e+14 9.514086990077e-01
6560.900000 3.689120658119e+14 3.878194984559e+14 9.512468230213e-01
6560.910000 3.688484362506e+14 3.878189214299e+14 9.510841680716e-01
6560.920000 3.687845028530e+14 3.878183444026e+14 9.509207291910e-01
6560.930000 3.687202636873e+14 3.878177673743e+14 9.507565013942e-01
6560.940000 3.686557168103e+14 3.878171903448e+14 9.505914796676e-01
6560.950000 3.685908602550e+14 3.878166133141e+14 9.504256589352e-01
6560.960000 3.685256917338e+14 3.878160362822e+14 9.502590332949e-01
6560.970000 3.684602095506e+14 3.878154592491e+14 9.500915983699e-01
6560.980000 3.683943479394e+14 3.878148822148e+14 9.499231845759e-01
6560.990000 3.683282180138e+14 3.878143051792e+14 9.497540784206e-01
6561.000000 3.682398406946e+14 3.878137281425e+14 9.495276055810e-01
6561.010000 3.681718600078e+14 3.878131511832e+14 9.493537258458e-01
6561.020000 3.681034498474e+14 3.878125742227e+14 9.491787381708e-01
6561.030000 3.680345954882e+14 3.878119972609e+14 9.490026045806e-01
6561.040000 3.679652802380e+14 3.878114202980e+14 9.488252820282e-01
6561.050000 3.678954850591e+14 3.878108433338e+14 9.486467214185e-01
6561.060000 3.678251815152e+14 3.878102663685e+14 9.484668494198e-01
6561.070000 3.677543506965e+14 3.878096894020e+14 9.482856172666e-01
6561.080000 3.676829633754e+14 3.878091124343e+14 9.481029495862e-01
6561.090000 3.676109851350e+14 3.878085354654e+14 9.479187576257e-01
6561.100000 3.675383753373e+14 3.878079584953e+14 9.477329365889e-01
6561.110000 3.674650836227e+14 3.878073815241e+14 9.475453566112e-01
6561.120000 3.673910547744e+14 3.878068045516e+14 9.473558753029e-01
6561.130000 3.673162173664e+14 3.878062275779e+14 9.471643084758e-01
6561.140000 3.672404852699e+14 3.878056506030e+14 9.469704340276e-01
6561.150000 3.671637520126e+14 3.878050736271e+14 9.467739773969e-01
6561.160000 3.670858844615e+14 3.878044966498e+14 9.465745952735e-01
6561.170000 3.670067140540e+14 3.878039196714e+14 9.463718529845e-01
6561.180000 3.669260244115e+14 3.878033426917e+14 9.461651925552e-01
6561.190000 3.668435306056e+14 3.878027657110e+14 9.459538792432e-01
6561.200000 3.667587549886e+14 3.878021887290e+14 9.457366813495e-01
6561.210000 3.666711051108e+14 3.878016117459e+14 9.455120711336e-01
6561.220000 3.665803612431e+14 3.878010347615e+14 9.452794819605e-01
6561.230000 3.664853259377e+14 3.878004577760e+14 9.450358260005e-01
6561.240000 3.663840465996e+14 3.877998807892e+14 9.447760681462e-01
6561.250000 3.662734501473e+14 3.877993038013e+14 9.444922839133e-01
6561.260000 3.661476894059e+14 3.877987268121e+14 9.441693953351e-01
6561.270000 3.659919046672e+14 3.877981498219e+14 9.437690840849e-01
6561.280000 3.657594444656e+14 3.877975728304e+14 9.431710513194e-01
6561.290000 3.653017446596e+14 3.877969958378e+14 9.419921984450e-01
6561.300000 3.642253622764e+14 3.877964188438e+14 9.392179622555e-01
6561.310000 3.616374949309e+14 3.877958418488e+14 9.325460871547e-01
6561.320000 3.560206954607e+14 3.877952648525e+14 9.180635446802e-01
6561.330000 3.457567301991e+14 3.877946878551e+14 8.915973865228e-01
6561.340000 3.305729014534e+14 3.877941108565e+14 8.524443569381e-01
6561.350000 3.130105867308e+14 3.877935338567e+14 8.071578285948e-01
6561.360000 2.974806342594e+14 3.877929568557e+14 7.671120091285e-01
6561.370000 2.880664632417e+14 3.877923798535e+14 7.428368328190e-01
6561.380000 2.869111026357e+14 3.877918028501e+14 7.398586058990e-01
6561.390000 2.942372911517e+14 3.877912258455e+14 7.587518013339e-01
6561.400000 3.084136015329e+14 3.877906488397e+14 7.953095373900e-01
6561.410000 3.257521833543e+14 3.877900718328e+14 8.400219784243e-01
6561.420000 3.417012304735e+14 3.877894948247e+14 8.811513334779e-01
6561.430000 3.531042881405e+14 3.877889178154e+14 9.105579657349e-01
6561.440000 3.595593414389e+14 3.877883408049e+14 9.272051364223e-01
6561.450000 3.625665668930e+14 3.877877637931e+14 9.349613390238e-01
6561.460000 3.637381327574e+14 3.877871867802e+14 9.379838869290e-01
6561.470000 3.641247818969e+14 3.877866097662e+14 9.389823493812e-01
6561.480000 3.642139583996e+14 3.877860327509e+14 9.392137097251e-01
6561.490000 3.641891146585e+14 3.877854557345e+14 9.391510415694e-01
6561.500000 3.640830810565e+14 3.877848787169e+14 9.388790049297e-01
6561.510000 3.638361105918e+14 3.877843016980e+14 9.382435261013e-01
6561.520000 3.632728537978e+14 3.877837246780e+14 9.367924197940e-01
6561.530000 3.620810772890e+14 3.877831476568e+14 9.337205071364e-01
6561.540000 3.598996861784e+14 3.877825706343e+14 9.280966021492e-01
6561.550000 3.566323354573e+14 3.877819936108e+14 9.196722419639e-01
6561.560000 3.527784247405e+14 3.877814165860e+14 9.097352520046e-01
6561.570000 3.494933925373e+14 3.877808395600e+14 9.012652428465e-01
6561.580000 3.480316239985e+14 3.877802625329e+14 8.974970044252e-01
6561.590000 3.489806563859e+14 3.877796855045e+14 8.999456893463e-01
6561.600000 3.518977582260e+14 3.877791084750e+14 9.074696148793e-01
6561.610000 3.555900612083e+14 3.877785314443e+14 9.169926449612e-01
6561.620000 3.588336016773e+14 3.877779544124e+14 9.253584366883e-01
6561.630000 3.610257065690e+14 3.877773773793e+14 9.310128120647e-01
6561.640000 3.621888412638e+14 3.877768003450e+14 9.340136927779e-01
6561.650000 3.626727384336e+14 3.877762233095e+14 9.352629600093e-01
6561.660000 3.628107523333e+14 3.877756462730e+14 9.356202634705e-01
6561.670000 3.628051329044e+14 3.877750692351e+14 9.356071642771e-01
6561.680000 3.627138240830e+14 3.877744921960e+14 9.353730876648e-01
6561.690000 3.626357157390e+14 3.877739151558e+14 9.351730520432e-01
6561.700000 3.625502129693e+14 3.877733381144e+14 9.349539468915e-01
6561.710000 3.624606629378e+14 3.877727610718e+14 9.347244038905e-01
6561.720000 3.623681235140e+14 3.877721840280e+14 9.344871510633e-01
6561.730000 3.622981839562e+14 3.877716069830e+14 9.343081789175e-01
6561.740000 3.621988183781e+14 3.877710299369e+14 9.340533212011e-01
6561.750000 3.620985514298e+14 3.877704528896e+14 9.337961382346e-01
6561.760000 3.620164819624e+14 3.877698758410e+14 9.335858830633e-01
6561.770000 3.619133522959e+14 3.877692987913e+14 9.333213161125e-01
6561.780000 3.618093197647e+14 3.877687217404e+14 9.330544200185e-01
6561.790000 3.617043366799e+14 3.877681446882e+14 9.327850717874e-01
6561.800000 3.615983479741e+14 3.877675676350e+14 9.325131293975e-01
6561.810000 3.614912896076e+14 3.877669905805e+14 9.322384276866e-01
6561.820000 3.613830865486e+14 3.877664135249e+14 9.319607731458e-01
6561.830000 3.612736501950e+14 3.877658364680e+14 9.316799372676e-01
6561.840000 3.611628750406e+14 3.877652594099e+14 9.313956479501e-01
6561.850000 3.610506343271e+14 3.877646823507e+14 9.311075782826e-01
6561.860000 3.609367739149e+14 3.877641052904e+14 9.308153307399e-01
6561.870000 3.608210969961e+14 3.877635282287e+14 9.305183977572e-01
6561.880000 3.607033787073e+14 3.877629511659e+14 9.302161994146e-01
6561.890000 3.605831909784e+14 3.877623741019e+14 9.299076317385e-01
6561.900000 3.604602806843e+14 3.877617970367e+14 9.295920419158e-01
6561.910000 3.603341873583e+14 3.877612199704e+14 9.292682424141e-01
6561.920000 3.602042809222e+14 3.877606429029e+14 9.289346082822e-01
6561.930000 3.600696888293e+14 3.877600658341e+14 9.285888892523e-01
6561.940000 3.599286905460e+14 3.877594887642e+14 9.282266481553e-01
6561.950000 3.597808041239e+14 3.877589116931e+14 9.278466420099e-01
6561.960000 3.596226391872e+14 3.877583346209e+14 9.274401272092e-01
6561.970000 3.594513532639e+14 3.877577575473e+14 9.269997730994e-01
6561.980000 3.592596238225e+14 3.877571804727e+14 9.265066952070e-01
6561.990000 3.590363619398e+14 3.877566033968e+14 9.259322956580e-01
6562.000000 3.587523780031e+14 3.877560263198e+14 9.252012957943e-01
6562.010000 3.583560387053e+14 3.877554491862e+14 9.241805355859e-01
6562.020000 3.576844703830e+14 3.877548720515e+14 9.224499707522e-01
6562.030000 3.563965073577e+14 3.877542949156e+14 9.191297479639e-01
6562.040000 3.538180014679e+14 3.877537177785e+14 9.124812612886e-01
6562.050000 3.490049668099e+14 3.877531406403e+14 9.000699935882e-01
6562.060000 3.412453162262e+14 3.877525635008e+14 8.800594718066e-01
6562.070000 3.311146581079e+14 3.877519863601e+14 8.539341376847e-01
6562.080000 3.206720035341e+14 3.877514092183e+14 8.270040956927e-01
6562.090000 3.131118731894e+14 3.877508320752e+14 8.075079336741e-01
6562.100000 3.108207986476e+14 3.877502549309e+14 8.016005010828e-01
6562.110000 3.144549019163e+14 3.877496777856e+14 8.109739863927e-01
6562.120000 3.228718986048e+14 3.877491006390e+14 8.326825209206e-01
6562.130000 3.332720348895e+14 3.877485234911e+14 8.595056194899e-01
