# Korg.jl Solar Spectrum - Complete Data
# Generated on: 2025-07-31T21:55:00.448
# Parameters: Teff=5780 K, logg=4.44, [M/H]=0.0, vmic=1.0 km/s
# Wavelength range: (5000, 5200) Å
# Synthesis time: 56.38 seconds
# Total wavelength points: 20001
# Strong absorption lines (>10% depth): 6154
# Deepest line: 5185.05 Å, 89.2% depth
#
# Column 1: Wavelength (Å)
# Column 2: Absolute Flux (erg/s/cm²/Å)
# Column 3: Continuum Flux (erg/s/cm²/Å)
# Column 4: Normalized Flux (dimensionless)
#
# Wavelength    AbsoluteFlux      ContinuumFlux     NormalizedFlux
 5001.0300     1.015232e+15     1.048895e+15      0.967906
 5001.0400     1.019814e+15     1.048890e+15      0.972280
 5001.0500     1.023415e+15     1.048885e+15      0.975717
 5001.0600     1.026327e+15     1.048880e+15      0.978499
 5001.0700     1.028723e+15     1.048874e+15      0.980788
 5001.0800     1.030745e+15     1.048869e+15      0.982720
 5001.0900     1.032420e+15     1.048864e+15      0.984322
 5001.1000     1.033840e+15     1.048859e+15      0.985681
 5001.1100     1.035095e+15     1.048853e+15      0.986882
 5001.1200     1.036139e+15     1.048848e+15      0.987883
 5001.1300     1.037043e+15     1.048843e+15      0.988749
 5001.1400     1.037829e+15     1.048838e+15      0.989503
 5001.1500     1.038515e+15     1.048833e+15      0.990163
 5001.1600     1.039117e+15     1.048827e+15      0.990742
 5001.1700     1.039647e+15     1.048822e+15      0.991252
 5001.1800     1.039964e+15     1.048817e+15      0.991559
 5001.1900     1.040371e+15     1.048812e+15      0.991952
 5001.2000     1.040729e+15     1.048807e+15      0.992298
 5001.2100     1.041044e+15     1.048801e+15      0.992604
 5001.2200     1.041322e+15     1.048796e+15      0.992873
 5001.2300     1.041565e+15     1.048791e+15      0.993110
 5001.2400     1.041777e+15     1.048786e+15      0.993318
 5001.2500     1.041961e+15     1.048781e+15      0.993498
 5001.2600     1.042119e+15     1.048775e+15      0.993653
 5001.2700     1.042252e+15     1.048770e+15      0.993785
 5001.2800     1.042362e+15     1.048765e+15      0.993895
 5001.2900     1.042450e+15     1.048760e+15      0.993984
 5001.3000     1.042517e+15     1.048754e+15      0.994053
 5001.3100     1.042563e+15     1.048749e+15      0.994102
 5001.3200     1.042589e+15     1.048744e+15      0.994131
 5001.3300     1.042593e+15     1.048739e+15      0.994140
 5001.3400     1.042576e+15     1.048734e+15      0.994128
 5001.3500     1.042536e+15     1.048728e+15      0.994096
 5001.3600     1.042473e+15     1.048723e+15      0.994040
 5001.3700     1.042384e+15     1.048718e+15      0.993960
 5001.3800     1.042267e+15     1.048713e+15      0.993853
 5001.3900     1.042118e+15     1.048708e+15      0.993716
 5001.4000     1.041934e+15     1.048702e+15      0.993546
 5001.4100     1.041708e+15     1.048697e+15      0.993336
 5001.4200     1.041435e+15     1.048692e+15      0.993080
 5001.4300     1.041103e+15     1.048687e+15      0.992769
 5001.4400     1.040702e+15     1.048681e+15      0.992391
 5001.4500     1.040214e+15     1.048676e+15      0.991930
 5001.4600     1.039616e+15     1.048671e+15      0.991365
 5001.4700     1.038872e+15     1.048666e+15      0.990661
 5001.4800     1.037928e+15     1.048661e+15      0.989766
 5001.4900     1.036739e+15     1.048655e+15      0.988636
 5001.5000     1.035168e+15     1.048650e+15      0.987143
 5001.5100     1.032847e+15     1.048645e+15      0.984935
 5001.5200     1.029596e+15     1.048640e+15      0.981840
