# Korg.jl Solar Spectrum - Simple Format
# Teff=5780 K, logg=4.44, [M/H]=0.0
# Wavelength(Å)  NormalizedFlux  Continuum(erg/s/cm²/Å)
 5001.5500      0.937488     1.048624e+15
 5001.5600      0.870158     1.048619e+15
 5001.5700      0.746475     1.048614e+15
 5001.5800      0.598721     1.048609e+15
 5001.5900      0.487564     1.048603e+15
 5001.6000      0.434070     1.048598e+15
 5001.6100      0.430231     1.048593e+15
 5001.6200      0.474571     1.048588e+15
 5001.6300      0.575123     1.048582e+15
 5001.6400      0.716316     1.048577e+15
 5001.6500      0.839666     1.048572e+15
 5001.6600      0.902283     1.048567e+15
 5001.6700      0.906808     1.048562e+15
 5001.6800      0.847302     1.048556e+15
 5001.6900      0.695552     1.048551e+15
 5001.7000      0.494763     1.048546e+15
 5001.7100      0.358335     1.048541e+15
 5001.7200      0.296329     1.048536e+15
 5001.7300      0.270825     1.048530e+15
 5001.7400      0.265633     1.048525e+15
 5001.7500      0.278286     1.048520e+15
 5001.7600      0.316272     1.048515e+15
 5001.7700      0.407223     1.048510e+15
 5001.7800      0.586301     1.048504e+15
 5001.7900      0.779229     1.048499e+15
 5001.8000      0.878281     1.048494e+15
 5001.8100      0.903080     1.048489e+15
 5001.8200      0.907262     1.048484e+15
 5001.8300      0.920250     1.048478e+15
 5001.8400      0.944502     1.048473e+15
 5001.8500      0.966952     1.048468e+15
 5001.8600      0.979603     1.048463e+15
 5001.8700      0.985018     1.048457e+15
 5001.8800      0.987319     1.048452e+15
 5001.8900      0.988673     1.048447e+15
 5001.9000      0.989736     1.048442e+15
 5001.9100      0.990528     1.048437e+15
 5001.9200      0.991207     1.048431e+15
 5001.9300      0.991746     1.048426e+15
 5001.9400      0.992199     1.048421e+15
 5001.9500      0.992703     1.048416e+15
 5001.9600      0.993015     1.048411e+15
 5001.9700      0.993276     1.048405e+15
 5001.9800      0.993494     1.048400e+15
 5001.9900      0.993672     1.048395e+15
 5002.0000      0.993813     1.048390e+15
 5002.0100      0.993919     1.048385e+15
 5002.0200      0.993987     1.048379e+15
 5002.0300      0.994005     1.048374e+15
 5002.0400      0.993946     1.048369e+15
 5002.0500      0.993681     1.048364e+15
 5002.0600      0.992621     1.048358e+15
 5002.0700      0.988608     1.048353e+15
 5002.0800      0.975875     1.048348e+15
 5002.0900      0.945224     1.048343e+15
 5002.1000      0.893030     1.048337e+15
 5002.1100      0.833759     1.048332e+15
 5002.1200      0.794016     1.048327e+15
 5002.1300      0.792339     1.048322e+15
 5002.1400      0.829456     1.048316e+15
 5002.1500      0.888111     1.048311e+15
 5002.1600      0.941586     1.048306e+15
 5002.1700      0.973936     1.048301e+15
 5002.1800      0.987603     1.048295e+15
 5002.1900      0.991871     1.048290e+15
 5002.2000      0.992842     1.048285e+15
 5002.2100      0.992539     1.048280e+15
 5002.2200      0.990324     1.048275e+15
 5002.2300      0.982883     1.048269e+15
 5002.2400      0.965568     1.048264e+15
 5002.2500      0.939482     1.048259e+15
 5002.2600      0.916438     1.048254e+15
 5002.2700      0.907998     1.048248e+15
 5002.2800      0.909985     1.048243e+15
 5002.2900      0.905411     1.048238e+15
 5002.3000      0.883738     1.048233e+15
 5002.3100      0.849342     1.048227e+15
 5002.3200      0.811457     1.048222e+15
 5002.3300      0.770755     1.048217e+15
 5002.3400      0.714517     1.048212e+15
 5002.3500      0.628938     1.048206e+15
 5002.3600      0.528788     1.048201e+15
 5002.3700      0.450473     1.048196e+15
 5002.3800      0.414087     1.048191e+15
 5002.3900      0.421072     1.048186e+15
 5002.4000      0.476069     1.048180e+15
 5002.4100      0.584140     1.048175e+15
 5002.4200      0.716692     1.048170e+15
 5002.4300      0.813192     1.048165e+15
 5002.4400      0.851150     1.048159e+15
 5002.4500      0.858943     1.048154e+15
 5002.4600      0.866090     1.048149e+15
 5002.4700      0.883921     1.048144e+15
 5002.4800      0.910662     1.048138e+15
 5002.4900      0.939120     1.048133e+15
 5002.5000      0.962265     1.048128e+15
 5002.5100      0.977245     1.048123e+15
 5002.5200      0.985144     1.048117e+15
 5002.5300      0.988585     1.048112e+15
 5002.5400      0.989792     1.048107e+15
 5002.5500      0.990015     1.048102e+15
 5002.5600      0.989641     1.048097e+15
 5002.5700      0.988375     1.048091e+15
 5002.5800      0.984626     1.048086e+15
 5002.5900      0.976041     1.048081e+15
 5002.6000      0.960977     1.048076e+15
 5002.6100      0.942694     1.048070e+15
 5002.6200      0.929557     1.048065e+15
 5002.6300      0.929221     1.048060e+15
 5002.6400      0.941897     1.048055e+15
 5002.6500      0.959751     1.048049e+15
 5002.6600      0.974376     1.048044e+15
 5002.6700      0.982635     1.048039e+15
 5002.6800      0.986015     1.048034e+15
 5002.6900      0.986988     1.048029e+15
 5002.7000      0.987051     1.048023e+15
 5002.7100      0.986790     1.048018e+15
 5002.7200      0.986386     1.048013e+15
 5002.7300      0.985882     1.048008e+15
 5002.7400      0.985286     1.048002e+15
 5002.7500      0.984465     1.047997e+15
 5002.7600      0.983626     1.047992e+15
 5002.7700      0.982596     1.047987e+15
 5002.7800      0.981339     1.047981e+15
 5002.7900      0.979378     1.047976e+15
 5002.8000      0.976096     1.047971e+15
 5002.8100      0.969888     1.047966e+15
 5002.8200      0.957723     1.047960e+15
 5002.8300      0.935903     1.047955e+15
 5002.8400      0.903177     1.047950e+15
 5002.8500      0.864971     1.047945e+15
 5002.8600      0.831244     1.047940e+15
 5002.8700      0.812480     1.047934e+15
 5002.8800      0.813453     1.047929e+15
 5002.8900      0.833655     1.047924e+15
 5002.9000      0.867013     1.047919e+15
 5002.9100      0.902542     1.047913e+15
 5002.9200      0.931000     1.047908e+15
 5002.9300      0.948254     1.047903e+15
 5002.9400      0.956387     1.047898e+15
