# Korg.jl Solar Spectrum - Simple Format
# Teff=5780 K, logg=4.44, [M/H]=0.0
# Wavelength(Å)  NormalizedFlux  Continuum(erg/s/cm²/Å)
 5011.3100      0.995332     1.046971e+15
 5011.3200      0.994837     1.046963e+15
 5011.3300      0.994036     1.046956e+15
 5011.3400      0.992608     1.046948e+15
 5011.3500      0.989284     1.046940e+15
 5011.3600      0.978325     1.046933e+15
 5011.3700      0.942682     1.046925e+15
 5011.3800      0.852255     1.046917e+15
 5011.3900      0.702782     1.046910e+15
 5011.4000      0.555591     1.046902e+15
 5011.4100      0.466424     1.046894e+15
 5011.4200      0.438726     1.046886e+15
 5011.4300      0.465288     1.046879e+15
 5011.4400      0.553088     1.046871e+15
 5011.4500      0.699298     1.046863e+15
 5011.4600      0.849139     1.046856e+15
 5011.4700      0.940477     1.046848e+15
 5011.4800      0.976487     1.046840e+15
 5011.4900      0.987214     1.046833e+15
 5011.5000      0.990109     1.046825e+15
 5011.5100      0.990599     1.046817e+15
 5011.5200      0.989367     1.046810e+15
 5011.5300      0.985197     1.046802e+15
 5011.5400      0.975426     1.046794e+15
 5011.5500      0.955595     1.046787e+15
 5011.5600      0.917916     1.046779e+15
 5011.5700      0.853476     1.046771e+15
 5011.5800      0.766838     1.046763e+15
 5011.5900      0.683418     1.046756e+15
 5011.6000      0.630838     1.046748e+15
 5011.6100      0.618861     1.046740e+15
 5011.6200      0.637093     1.046733e+15
 5011.6300      0.648144     1.046725e+15
 5011.6400      0.607635     1.046717e+15
 5011.6500      0.534420     1.046710e+15
 5011.6600      0.483535     1.046702e+15
 5011.6700      0.478031     1.046694e+15
 5011.6800      0.522996     1.046687e+15
 5011.6900      0.620538     1.046679e+15
 5011.7000      0.742973     1.046671e+15
 5011.7100      0.827740     1.046663e+15
 5011.7200      0.837153     1.046656e+15
 5011.7300      0.799104     1.046648e+15
 5011.7400      0.765017     1.046640e+15
 5011.7500      0.767136     1.046633e+15
 5011.7600      0.810359     1.046625e+15
 5011.7700      0.876537     1.046617e+15
 5011.7800      0.936148     1.046610e+15
 5011.7900      0.971924     1.046602e+15
 5011.8000      0.987246     1.046594e+15
 5011.8100      0.992444     1.046587e+15
 5011.8200      0.994162     1.046579e+15
 5011.8300      0.994925     1.046571e+15
 5011.8400      0.995394     1.046564e+15
 5011.8500      0.995745     1.046556e+15
 5011.8600      0.996027     1.046548e+15
 5011.8700      0.996242     1.046541e+15
 5011.8800      0.996420     1.046533e+15
 5011.8900      0.996565     1.046525e+15
 5011.9000      0.996684     1.046517e+15
 5011.9100      0.996782     1.046510e+15
 5011.9200      0.996862     1.046502e+15
 5011.9300      0.997114     1.046494e+15
 5011.9400      0.997148     1.046487e+15
 5011.9500      0.997173     1.046479e+15
 5011.9600      0.997188     1.046471e+15
 5011.9700      0.997194     1.046464e+15
 5011.9800      0.997191     1.046456e+15
 5011.9900      0.997180     1.046448e+15
 5012.0000      0.997161     1.046441e+15
 5012.0100      0.997133     1.046443e+15
 5012.0200      0.997096     1.046446e+15
 5012.0300      0.997050     1.046448e+15
 5012.0400      0.996995     1.046451e+15
 5012.0500      0.996929     1.046453e+15
 5012.0600      0.996851     1.046456e+15
 5012.0700      0.996761     1.046459e+15
 5012.0800      0.996656     1.046461e+15
 5012.0900      0.996535     1.046464e+15
 5012.1000      0.996394     1.046466e+15
 5012.1100      0.996232     1.046469e+15
 5012.1200      0.996044     1.046471e+15
 5012.1300      0.995825     1.046474e+15
 5012.1400      0.995568     1.046476e+15
 5012.1500      0.995134     1.046479e+15
 5012.1600      0.994758     1.046482e+15
 5012.1700      0.994307     1.046484e+15
 5012.1800      0.993761     1.046487e+15
 5012.1900      0.993090     1.046489e+15
 5012.2000      0.992250     1.046492e+15
 5012.2100      0.991173     1.046494e+15
 5012.2200      0.989558     1.046497e+15
 5012.2300      0.987644     1.046499e+15
 5012.2400      0.984900     1.046502e+15
 5012.2500      0.980590     1.046505e+15
 5012.2600      0.972384     1.046507e+15
 5012.2700      0.952611     1.046510e+15
 5012.2800      0.898224     1.046512e+15
 5012.2900      0.772483     1.046515e+15
 5012.3000      0.584755     1.046517e+15
 5012.3100      0.427269     1.046520e+15
 5012.3200      0.345150     1.046523e+15
 5012.3300      0.312743     1.046525e+15
 5012.3400      0.309568     1.046528e+15
 5012.3500      0.333817     1.046530e+15
 5012.3600      0.402171     1.046533e+15
 5012.3700      0.545261     1.046535e+15
 5012.3800      0.738992     1.046538e+15
 5012.3900      0.882509     1.046540e+15
 5012.4000      0.947038     1.046543e+15
 5012.4100      0.970132     1.046546e+15
 5012.4200      0.979155     1.046548e+15
 5012.4300      0.983922     1.046551e+15
 5012.4400      0.986836     1.046553e+15
 5012.4500      0.988927     1.046556e+15
 5012.4600      0.990380     1.046558e+15
 5012.4700      0.991499     1.046561e+15
 5012.4800      0.992365     1.046563e+15
 5012.4900      0.993043     1.046566e+15
 5012.5000      0.993719     1.046569e+15
 5012.5100      0.994147     1.046571e+15
 5012.5200      0.994498     1.046574e+15
 5012.5300      0.994788     1.046576e+15
 5012.5400      0.995028     1.046579e+15
 5012.5500      0.995228     1.046581e+15
 5012.5600      0.995394     1.046584e+15
 5012.5700      0.995533     1.046587e+15
 5012.5800      0.995649     1.046589e+15
 5012.5900      0.995744     1.046592e+15
 5012.6000      0.995823     1.046594e+15
 5012.6100      0.995886     1.046597e+15
 5012.6200      0.995936     1.046599e+15
 5012.6300      0.995974     1.046602e+15
 5012.6400      0.996002     1.046604e+15
 5012.6500      0.996021     1.046607e+15
 5012.6600      0.996030     1.046610e+15
 5012.6700      0.996032     1.046612e+15
 5012.6800      0.996027     1.046615e+15
 5012.6900      0.996014     1.046617e+15
 5012.7000      0.995995     1.046620e+15
 5012.7100      0.995970     1.046622e+15
 5012.7200      0.995938     1.046625e+15
 5012.7300      0.995961     1.046627e+15
 5012.7400      0.995960     1.046630e+15
 5012.7500      0.995854     1.046633e+15
 5012.7600      0.995796     1.046635e+15
 5012.7700      0.995733     1.046638e+15
 5012.7800      0.995664     1.046640e+15
 5012.7900      0.995589     1.046643e+15
 5012.8000      0.995508     1.046645e+15
 5012.8100      0.995545     1.046648e+15
 5012.8200      0.995447     1.046651e+15
 5012.8300      0.995343     1.046653e+15
 5012.8400      0.995233     1.046656e+15
 5012.8500      0.995116     1.046658e+15
 5012.8600      0.994992     1.046661e+15
 5012.8700      0.994861     1.046663e+15
 5012.8800      0.994722     1.046666e+15
 5012.8900      0.994575     1.046668e+15
 5012.9000      0.994419     1.046671e+15
 5012.9100      0.994254     1.046674e+15
 5012.9200      0.994078     1.046676e+15
 5012.9300      0.993893     1.046679e+15
 5012.9400      0.993696     1.046681e+15
 5012.9500      0.993487     1.046684e+15
 5012.9600      0.993264     1.046686e+15
 5012.9700      0.993028     1.046689e+15
 5012.9800      0.992777     1.046691e+15
 5012.9900      0.992476     1.046694e+15
 5013.0000      0.992030     1.046697e+15
 5013.0100      0.991577     1.046703e+15
 5013.0200      0.990495     1.046709e+15
 5013.0300      0.987379     1.046715e+15
 5013.0400      0.980894     1.046721e+15
 5013.0500      0.973244     1.046727e+15
 5013.0600      0.970563     1.046733e+15
 5013.0700      0.975161     1.046739e+15
 5013.0800      0.982027     1.046745e+15
 5013.0900      0.986105     1.046751e+15
 5013.1000      0.986975     1.046758e+15
 5013.1100      0.986278     1.046764e+15
 5013.1200      0.983586     1.046770e+15
 5013.1300      0.975427     1.046776e+15
 5013.1400      0.959389     1.046782e+15
 5013.1500      0.942119     1.046788e+15
 5013.1600      0.937619     1.046794e+15
 5013.1700      0.949360     1.046800e+15
 5013.1800      0.965314     1.046806e+15
 5013.1900      0.974478     1.046813e+15
 5013.2000      0.976705     1.046819e+15
 5013.2100      0.975898     1.046825e+15
 5013.2200      0.974195     1.046831e+15
 5013.2300      0.972138     1.046837e+15
 5013.2400      0.969782     1.046843e+15
 5013.2500      0.967090     1.046849e+15
 5013.2600      0.964002     1.046855e+15
 5013.2700      0.960438     1.046861e+15
 5013.2800      0.956297     1.046867e+15
 5013.2900      0.951466     1.046874e+15
 5013.3000      0.945736     1.046880e+15
 5013.3100      0.938900     1.046886e+15
 5013.3200      0.930654     1.046892e+15
 5013.3300      0.920556     1.046898e+15
 5013.3400      0.907811     1.046904e+15
 5013.3500      0.892090     1.046910e+15
 5013.3600      0.871834     1.046916e+15
 5013.3700      0.844141     1.046922e+15
 5013.3800      0.802102     1.046928e+15
 5013.3900      0.718343     1.046935e+15
 5013.4000      0.521170     1.046941e+15
 5013.4100      0.298564     1.046947e+15
 5013.4200      0.208251     1.046953e+15
 5013.4300      0.162319     1.046959e+15
 5013.4400      0.135884     1.046965e+15
 5013.4500      0.122366     1.046971e+15
 5013.4600      0.116771     1.046977e+15
 5013.4700      0.116437     1.046983e+15
 5013.4800      0.121192     1.046990e+15
 5013.4900      0.133348     1.046996e+15
 5013.5000      0.157602     1.047002e+15
 5013.5100      0.199931     1.047008e+15
 5013.5200      0.268274     1.047014e+15
 5013.5300      0.320391     1.047020e+15
 5013.5400      0.302939     1.047026e+15
 5013.5500      0.286439     1.047032e+15
 5013.5600      0.287894     1.047038e+15
 5013.5700      0.310893     1.047044e+15
 5013.5800      0.369927     1.047051e+15
 5013.5900      0.494881     1.047057e+15
 5013.6000      0.673168     1.047063e+15
 5013.6100      0.812648     1.047069e+15
 5013.6200      0.880720     1.047075e+15
 5013.6300      0.909766     1.047081e+15
 5013.6400      0.924501     1.047087e+15
 5013.6500      0.933955     1.047093e+15
 5013.6600      0.940706     1.047099e+15
 5013.6700      0.945692     1.047105e+15
 5013.6800      0.949387     1.047112e+15
 5013.6900      0.952050     1.047118e+15
 5013.7000      0.953734     1.047124e+15
 5013.7100      0.954440     1.047130e+15
 5013.7200      0.954131     1.047136e+15
 5013.7300      0.952638     1.047142e+15
 5013.7400      0.949448     1.047148e+15
 5013.7500      0.943588     1.047154e+15
 5013.7600      0.932615     1.047160e+15
 5013.7700      0.908296     1.047167e+15
 5013.7800      0.844022     1.047173e+15
 5013.7900      0.696465     1.047179e+15
 5013.8000      0.493045     1.047185e+15
 5013.8100      0.352258     1.047191e+15
 5013.8200      0.288496     1.047197e+15
 5013.8300      0.261224     1.047203e+15
 5013.8400      0.253474     1.047209e+15
 5013.8500      0.261681     1.047215e+15
 5013.8600      0.289767     1.047221e+15
 5013.8700      0.355625     1.047228e+15
 5013.8800      0.500682     1.047234e+15
 5013.8900      0.706214     1.047240e+15
 5013.9000      0.852739     1.047246e+15
 5013.9100      0.917042     1.047252e+15
 5013.9200      0.942630     1.047258e+15
 5013.9300      0.955355     1.047264e+15
 5013.9400      0.963158     1.047270e+15
 5013.9500      0.968434     1.047276e+15
 5013.9600      0.972185     1.047283e+15
 5013.9700      0.974971     1.047289e+15
 5013.9800      0.976991     1.047295e+15
 5013.9900      0.978353     1.047301e+15
 5014.0000      0.979065     1.047307e+15
 5014.0100      0.978919     1.047312e+15
 5014.0200      0.977335     1.047317e+15
 5014.0300      0.972020     1.047321e+15
 5014.0400      0.956751     1.047326e+15
 5014.0500      0.918881     1.047331e+15
 5014.0600      0.846329     1.047336e+15
 5014.0700      0.750233     1.047341e+15
 5014.0800      0.665548     1.047346e+15
 5014.0900      0.624675     1.047350e+15
 5014.1000      0.637836     1.047355e+15
 5014.1100      0.702301     1.047360e+15
 5014.1200      0.796511     1.047365e+15
 5014.1300      0.881528     1.047370e+15
 5014.1400      0.930640     1.047375e+15
 5014.1500      0.949659     1.047379e+15
 5014.1600      0.956919     1.047384e+15
 5014.1700      0.964006     1.047389e+15
 5014.1800      0.973019     1.047394e+15
 5014.1900      0.981316     1.047399e+15
 5014.2000      0.986987     1.047404e+15
 5014.2100      0.990054     1.047408e+15
 5014.2200      0.991451     1.047413e+15
 5014.2300      0.992267     1.047418e+15
 5014.2400      0.992792     1.047423e+15
 5014.2500      0.993190     1.047428e+15
 5014.2600      0.993514     1.047432e+15
 5014.2700      0.993897     1.047437e+15
 5014.2800      0.994113     1.047442e+15
 5014.2900      0.994304     1.047447e+15
 5014.3000      0.994472     1.047452e+15
 5014.3100      0.994622     1.047457e+15
 5014.3200      0.994755     1.047461e+15
 5014.3300      0.994874     1.047466e+15
 5014.3400      0.994979     1.047471e+15
 5014.3500      0.995071     1.047476e+15
 5014.3600      0.995152     1.047481e+15
 5014.3700      0.995222     1.047486e+15
 5014.3800      0.995281     1.047490e+15
 5014.3900      0.995330     1.047495e+15
 5014.4000      0.995368     1.047500e+15
 5014.4100      0.995396     1.047505e+15
 5014.4200      0.995412     1.047510e+15
 5014.4300      0.995418     1.047515e+15
 5014.4400      0.995410     1.047519e+15
 5014.4500      0.995389     1.047524e+15
 5014.4600      0.995353     1.047529e+15
 5014.4700      0.995300     1.047534e+15
 5014.4800      0.995227     1.047539e+15
 5014.4900      0.995131     1.047544e+15
 5014.5000      0.995008     1.047548e+15
 5014.5100      0.994851     1.047553e+15
 5014.5200      0.994653     1.047558e+15
 5014.5300      0.994277     1.047563e+15
 5014.5400      0.993914     1.047568e+15
 5014.5500      0.993483     1.047573e+15
 5014.5600      0.992934     1.047577e+15
 5014.5700      0.992204     1.047582e+15
 5014.5800      0.991111     1.047587e+15
 5014.5900      0.989720     1.047592e+15
 5014.6000      0.987030     1.047597e+15
 5014.6100      0.980481     1.047601e+15
 5014.6200      0.960613     1.047606e+15
 5014.6300      0.903450     1.047611e+15
 5014.6400      0.779374     1.047616e+15
 5014.6500      0.605996     1.047621e+15
 5014.6600      0.458541     1.047626e+15
 5014.6700      0.374670     1.047630e+15
 5014.6800      0.337673     1.047635e+15
 5014.6900      0.325649     1.047640e+15
 5014.7000      0.327316     1.047645e+15
 5014.7100      0.340828     1.047650e+15
 5014.7200      0.373753     1.047655e+15
 5014.7300      0.443703     1.047659e+15
 5014.7400      0.569147     1.047664e+15
 5014.7500      0.732033     1.047669e+15
 5014.7600      0.868133     1.047674e+15
 5014.7700      0.942957     1.047679e+15
 5014.7800      0.973556     1.047684e+15
 5014.7900      0.984510     1.047688e+15
 5014.8000      0.988656     1.047693e+15
 5014.8100      0.990546     1.047698e+15
 5014.8200      0.991770     1.047703e+15
 5014.8300      0.992540     1.047708e+15
 5014.8400      0.993081     1.047713e+15
 5014.8500      0.993462     1.047717e+15
 5014.8600      0.993790     1.047722e+15
 5014.8700      0.993877     1.047727e+15
 5014.8800      0.993786     1.047732e+15
 5014.8900      0.993459     1.047737e+15
 5014.9000      0.992550     1.047742e+15
 5014.9100      0.990407     1.047746e+15
 5014.9200      0.986543     1.047751e+15
 5014.9300      0.980977     1.047756e+15
 5014.9400      0.974757     1.047761e+15
 5014.9500      0.970094     1.047766e+15
 5014.9600      0.969177     1.047770e+15
 5014.9700      0.972266     1.047775e+15
 5014.9800      0.977773     1.047780e+15
 5014.9900      0.982900     1.047785e+15
 5015.0000      0.985866     1.047790e+15
 5015.0100      0.984636     1.047789e+15
 5015.0200      0.972764     1.047787e+15
 5015.0300      0.930313     1.047786e+15
 5015.0400      0.824001     1.047785e+15
 5015.0500      0.654641     1.047784e+15
 5015.0600      0.494990     1.047782e+15
 5015.0700      0.399022     1.047781e+15
 5015.0800      0.359265     1.047780e+15
 5015.0900      0.359468     1.047779e+15
 5015.1000      0.399240     1.047778e+15
 5015.1100      0.491947     1.047776e+15
 5015.1200      0.633851     1.047775e+15
 5015.1300      0.756085     1.047774e+15
 5015.1400      0.795363     1.047773e+15
 5015.1500      0.778419     1.047771e+15
 5015.1600      0.756159     1.047770e+15
 5015.1700      0.754776     1.047769e+15
 5015.1800      0.780202     1.047768e+15
 5015.1900      0.826471     1.047767e+15
 5015.2000      0.879513     1.047765e+15
 5015.2100      0.922616     1.047764e+15
 5015.2200      0.943850     1.047763e+15
 5015.2300      0.941060     1.047762e+15
 5015.2400      0.920467     1.047760e+15
 5015.2500      0.893023     1.047759e+15
 5015.2600      0.870986     1.047758e+15
 5015.2700      0.863451     1.047757e+15
 5015.2800      0.873562     1.047755e+15
 5015.2900      0.897856     1.047754e+15
 5015.3000      0.928150     1.047753e+15
 5015.3100      0.955592     1.047752e+15
 5015.3200      0.974864     1.047751e+15
 5015.3300      0.985671     1.047749e+15
 5015.3400      0.990586     1.047748e+15
 5015.3500      0.992308     1.047747e+15
 5015.3600      0.992506     1.047746e+15
 5015.3700      0.992318     1.047744e+15
 5015.3800      0.991982     1.047743e+15
 5015.3900      0.991505     1.047742e+15
 5015.4000      0.990959     1.047741e+15
 5015.4100      0.990332     1.047740e+15
 5015.4200      0.989606     1.047738e+15
 5015.4300      0.988760     1.047737e+15
 5015.4400      0.987761     1.047736e+15
 5015.4500      0.986563     1.047735e+15
 5015.4600      0.985118     1.047733e+15
 5015.4700      0.983344     1.047732e+15
 5015.4800      0.981072     1.047731e+15
 5015.4900      0.977957     1.047730e+15
 5015.5000      0.972874     1.047729e+15
 5015.5100      0.960557     1.047727e+15
 5015.5200      0.919339     1.047726e+15
 5015.5300      0.794110     1.047725e+15
 5015.5400      0.557193     1.047724e+15
 5015.5500      0.347053     1.047722e+15
 5015.5600      0.256910     1.047721e+15
 5015.5700      0.223368     1.047720e+15
 5015.5800      0.210080     1.047719e+15
 5015.5900      0.209755     1.047718e+15
 5015.6000      0.221354     1.047716e+15
 5015.6100      0.245536     1.047715e+15
 5015.6200      0.277259     1.047714e+15
 5015.6300      0.281876     1.047713e+15
 5015.6400      0.244845     1.047711e+15
 5015.6500      0.210380     1.047710e+15
 5015.6600      0.189423     1.047709e+15
 5015.6700      0.179805     1.047708e+15
 5015.6800      0.180107     1.047706e+15
 5015.6900      0.190445     1.047705e+15
 5015.7000      0.212855     1.047704e+15
 5015.7100      0.255086     1.047703e+15
 5015.7200      0.360391     1.047702e+15
 5015.7300      0.600860     1.047700e+15
 5015.7400      0.820308     1.047699e+15
 5015.7500      0.913114     1.047698e+15
 5015.7600      0.943741     1.047697e+15
 5015.7700      0.956704     1.047695e+15
 5015.7800      0.964298     1.047694e+15
 5015.7900      0.969470     1.047693e+15
 5015.8000      0.973239     1.047692e+15
 5015.8100      0.976266     1.047691e+15
 5015.8200      0.978536     1.047689e+15
 5015.8300      0.980294     1.047688e+15
 5015.8400      0.981687     1.047687e+15
 5015.8500      0.982863     1.047686e+15
 5015.8600      0.983742     1.047684e+15
 5015.8700      0.984502     1.047683e+15
 5015.8800      0.985040     1.047682e+15
 5015.8900      0.985450     1.047681e+15
 5015.9000      0.985749     1.047679e+15
 5015.9100      0.985951     1.047678e+15
 5015.9200      0.985992     1.047677e+15
 5015.9300      0.986002     1.047676e+15
 5015.9400      0.985909     1.047675e+15
 5015.9500      0.985624     1.047673e+15
 5015.9600      0.984788     1.047672e+15
 5015.9700      0.982329     1.047671e+15
 5015.9800      0.976099     1.047670e+15
 5015.9900      0.963903     1.047668e+15
 5016.0000      0.946775     1.047667e+15
 5016.0100      0.931232     1.047666e+15
 5016.0200      0.925710     1.047664e+15
 5016.0300      0.933262     1.047662e+15
 5016.0400      0.948789     1.047660e+15
 5016.0500      0.963632     1.047659e+15
 5016.0600      0.972694     1.047657e+15
 5016.0700      0.976156     1.047655e+15
 5016.0800      0.976427     1.047654e+15
 5016.0900      0.975352     1.047652e+15
 5016.1000      0.973728     1.047650e+15
 5016.1100      0.971777     1.047649e+15
 5016.1200      0.969515     1.047647e+15
 5016.1300      0.966954     1.047645e+15
 5016.1400      0.963916     1.047643e+15
 5016.1500      0.960380     1.047642e+15
 5016.1600      0.956237     1.047640e+15
 5016.1700      0.951476     1.047638e+15
 5016.1800      0.945644     1.047637e+15
 5016.1900      0.938626     1.047635e+15
 5016.2000      0.930105     1.047633e+15
 5016.2100      0.919439     1.047632e+15
 5016.2200      0.906202     1.047630e+15
 5016.2300      0.889573     1.047628e+15
 5016.2400      0.867568     1.047627e+15
 5016.2500      0.837194     1.047625e+15
 5016.2600      0.792665     1.047623e+15
 5016.2700      0.718140     1.047621e+15
 5016.2800      0.584473     1.047620e+15
 5016.2900      0.415817     1.047618e+15
 5016.3000      0.301262     1.047616e+15
 5016.3100      0.243807     1.047615e+15
 5016.3200      0.212608     1.047613e+15
 5016.3300      0.195727     1.047611e+15
 5016.3400      0.189740     1.047610e+15
 5016.3500      0.193715     1.047608e+15
 5016.3600      0.208256     1.047606e+15
 5016.3700      0.236075     1.047604e+15
 5016.3800      0.286469     1.047603e+15
 5016.3900      0.386850     1.047601e+15
 5016.4000      0.550833     1.047599e+15
 5016.4100      0.696966     1.047598e+15
 5016.4200      0.781190     1.047596e+15
 5016.4300      0.829949     1.047594e+15
 5016.4400      0.862578     1.047593e+15
 5016.4500      0.886020     1.047591e+15
 5016.4600      0.903591     1.047589e+15
 5016.4700      0.917434     1.047587e+15
 5016.4800      0.928541     1.047586e+15
 5016.4900      0.937488     1.047584e+15
 5016.5000      0.944818     1.047582e+15
 5016.5100      0.950902     1.047581e+15
 5016.5200      0.956009     1.047579e+15
 5016.5300      0.960333     1.047577e+15
 5016.5400      0.964024     1.047576e+15
 5016.5500      0.967196     1.047574e+15
 5016.5600      0.969937     1.047572e+15
 5016.5700      0.972317     1.047570e+15
 5016.5800      0.974389     1.047569e+15
 5016.5900      0.976193     1.047567e+15
 5016.6000      0.977762     1.047565e+15
 5016.6100      0.979110     1.047564e+15
 5016.6200      0.980236     1.047562e+15
 5016.6300      0.981095     1.047560e+15
 5016.6400      0.981479     1.047559e+15
 5016.6500      0.980473     1.047557e+15
 5016.6600      0.975019     1.047555e+15
 5016.6700      0.957617     1.047554e+15
 5016.6800      0.917923     1.047552e+15
 5016.6900      0.855423     1.047550e+15
 5016.7000      0.790728     1.047548e+15
 5016.7100      0.753922     1.047547e+15
 5016.7200      0.761648     1.047545e+15
 5016.7300      0.810908     1.047543e+15
 5016.7400      0.879270     1.047542e+15
 5016.7500      0.936910     1.047540e+15
 5016.7600      0.969887     1.047538e+15
 5016.7700      0.983653     1.047537e+15
 5016.7800      0.988413     1.047535e+15
 5016.7900      0.990122     1.047533e+15
 5016.8000      0.990920     1.047531e+15
 5016.8100      0.991398     1.047530e+15
 5016.8200      0.991423     1.047528e+15
 5016.8300      0.990341     1.047526e+15
 5016.8400      0.987570     1.047525e+15
 5016.8500      0.984405     1.047523e+15
 5016.8600      0.983881     1.047521e+15
 5016.8700      0.986812     1.047520e+15
 5016.8800      0.990552     1.047518e+15
 5016.8900      0.992831     1.047516e+15
 5016.9000      0.993719     1.047514e+15
 5016.9100      0.994034     1.047513e+15
 5016.9200      0.994225     1.047511e+15
 5016.9300      0.994357     1.047509e+15
 5016.9400      0.994478     1.047508e+15
 5016.9500      0.994589     1.047506e+15
 5016.9600      0.994811     1.047504e+15
 5016.9700      0.994892     1.047503e+15
 5016.9800      0.994964     1.047501e+15
 5016.9900      0.995026     1.047499e+15
 5017.0000      0.995079     1.047497e+15
 5017.0100      0.995121     1.047496e+15
 5017.0200      0.995151     1.047494e+15
 5017.0300      0.995168     1.047492e+15
 5017.0400      0.995169     1.047491e+15
 5017.0500      0.995151     1.047489e+15
 5017.0600      0.995110     1.047487e+15
 5017.0700      0.995040     1.047485e+15
 5017.0800      0.994863     1.047484e+15
 5017.0900      0.994663     1.047482e+15
 5017.1000      0.994308     1.047480e+15
 5017.1100      0.993484     1.047478e+15
 5017.1200      0.991371     1.047477e+15
 5017.1300      0.986085     1.047475e+15
 5017.1400      0.975250     1.047473e+15
 5017.1500      0.958242     1.047472e+15
 5017.1600      0.938560     1.047470e+15
 5017.1700      0.922296     1.047468e+15
 5017.1800      0.913097     1.047466e+15
 5017.1900      0.911820     1.047465e+15
 5017.2000      0.918063     1.047463e+15
 5017.2100      0.930946     1.047461e+15
 5017.2200      0.948255     1.047459e+15
 5017.2300      0.965041     1.047458e+15
 5017.2400      0.978010     1.047456e+15
 5017.2500      0.986067     1.047454e+15
 5017.2600      0.990428     1.047453e+15
 5017.2700      0.992500     1.047451e+15
 5017.2800      0.993530     1.047449e+15
 5017.2900      0.994086     1.047447e+15
 5017.3000      0.994388     1.047446e+15
 5017.3100      0.994544     1.047444e+15
 5017.3200      0.994457     1.047442e+15
 5017.3300      0.994436     1.047440e+15
 5017.3400      0.994338     1.047439e+15
 5017.3500      0.994150     1.047437e+15
 5017.3600      0.993814     1.047435e+15
 5017.3700      0.993209     1.047433e+15
 5017.3800      0.991978     1.047432e+15
 5017.3900      0.989414     1.047430e+15
 5017.4000      0.984637     1.047428e+15
 5017.4100      0.977686     1.047427e+15
 5017.4200      0.970304     1.047425e+15
 5017.4300      0.966116     1.047423e+15
 5017.4400      0.967105     1.047421e+15
 5017.4500      0.972055     1.047420e+15
 5017.4600      0.977214     1.047418e+15
 5017.4700      0.979535     1.047416e+15
 5017.4800      0.976555     1.047414e+15
 5017.4900      0.960176     1.047413e+15
 5017.5000      0.901320     1.047411e+15
 5017.5100      0.744486     1.047409e+15
 5017.5200      0.506891     1.047408e+15
 5017.5300      0.335903     1.047406e+15
 5017.5400      0.266015     1.047404e+15
 5017.5500      0.239487     1.047402e+15
 5017.5600      0.232063     1.047401e+15
 5017.5700      0.239489     1.047399e+15
 5017.5800      0.266019     1.047397e+15
 5017.5900      0.335911     1.047395e+15
 5017.6000      0.506921     1.047394e+15
 5017.6100      0.744614     1.047392e+15
 5017.6200      0.901695     1.047390e+15
 5017.6300      0.961093     1.047389e+15
 5017.6400      0.978681     1.047387e+15
 5017.6500      0.984458     1.047385e+15
 5017.6600      0.987217     1.047383e+15
 5017.6700      0.988903     1.047382e+15
 5017.6800      0.990031     1.047380e+15
 5017.6900      0.990818     1.047378e+15
 5017.7000      0.991383     1.047376e+15
 5017.7100      0.991752     1.047375e+15
 5017.7200      0.991962     1.047373e+15
 5017.7300      0.992032     1.047371e+15
 5017.7400      0.991898     1.047369e+15
 5017.7500      0.991667     1.047368e+15
 5017.7600      0.991263     1.047366e+15
 5017.7700      0.990617     1.047364e+15
 5017.7800      0.989675     1.047363e+15
 5017.7900      0.988047     1.047361e+15
 5017.8000      0.985071     1.047359e+15
 5017.8100      0.978850     1.047357e+15
 5017.8200      0.963454     1.047356e+15
 5017.8300      0.925572     1.047354e+15
 5017.8400      0.849004     1.047352e+15
 5017.8500      0.738630     1.047350e+15
 5017.8600      0.633064     1.047349e+15
 5017.8700      0.570521     1.047347e+15
 5017.8800      0.563775     1.047345e+15
 5017.8900      0.613206     1.047344e+15
 5017.9000      0.711180     1.047342e+15
 5017.9100      0.824433     1.047340e+15
 5017.9200      0.911093     1.047338e+15
 5017.9300      0.957024     1.047337e+15
 5017.9400      0.976282     1.047335e+15
 5017.9500      0.983902     1.047333e+15
 5017.9600      0.987176     1.047331e+15
 5017.9700      0.988415     1.047330e+15
 5017.9800      0.987216     1.047328e+15
 5017.9900      0.982895     1.047326e+15
 5018.0000      0.975402     1.047324e+15
 5018.0100      0.962470     1.047323e+15
 5018.0200      0.936179     1.047321e+15
 5018.0300      0.893131     1.047319e+15
 5018.0400      0.848134     1.047317e+15
 5018.0500      0.825738     1.047315e+15
 5018.0600      0.839015     1.047314e+15
 5018.0700      0.881230     1.047312e+15
 5018.0800      0.930304     1.047310e+15
 5018.0900      0.965911     1.047308e+15
 5018.1000      0.983448     1.047306e+15
 5018.1100      0.989561     1.047304e+15
 5018.1200      0.990994     1.047303e+15
 5018.1300      0.990973     1.047301e+15
 5018.1400      0.990492     1.047299e+15
 5018.1500      0.989742     1.047297e+15
 5018.1600      0.988727     1.047295e+15
 5018.1700      0.987355     1.047294e+15
 5018.1800      0.985406     1.047292e+15
 5018.1900      0.982466     1.047290e+15
 5018.2000      0.977439     1.047288e+15
 5018.2100      0.966431     1.047286e+15
 5018.2200      0.934982     1.047284e+15
 5018.2300      0.849171     1.047283e+15
 5018.2400      0.682594     1.047281e+15
 5018.2500      0.497597     1.047279e+15
