# Korg.jl Solar Spectrum
# Teff=5780 K, logg=4.44, [M/H]=0.0
# Wavelength(Å)  NormalizedFlux
 5002.6100      0.942694
 5002.6200      0.929557
 5002.6300      0.929221
 5002.6400      0.941897
 5002.6500      0.959751
 5002.6600      0.974376
 5002.6700      0.982635
 5002.6800      0.986015
 5002.6900      0.986988
 5002.7000      0.987051
 5002.7100      0.986790
 5002.7200      0.986386
 5002.7300      0.985882
 5002.7400      0.985286
 5002.7500      0.984465
 5002.7600      0.983626
 5002.7700      0.982596
 5002.7800      0.981339
 5002.7900      0.979378
 5002.8000      0.976096
 5002.8100      0.969888
 5002.8200      0.957723
 5002.8300      0.935903
 5002.8400      0.903177
 5002.8500      0.864971
 5002.8600      0.831244
 5002.8700      0.812480
 5002.8800      0.813453
 5002.8900      0.833655
 5002.9000      0.867013
 5002.9100      0.902542
 5002.9200      0.931000
 5002.9300      0.948254
 5002.9400      0.956387
 5002.9500      0.959132
 5002.9600      0.959213
 5002.9700      0.957988
 5002.9800      0.956053
 5002.9900      0.953566
 5003.0000      0.950608
 5003.0100      0.947176
 5003.0200      0.943233
 5003.0300      0.938735
 5003.0400      0.933689
 5003.0500      0.927802
 5003.0600      0.921045
 5003.0700      0.913258
 5003.0800      0.904239
 5003.0900      0.893736
 5003.1000      0.881428
 5003.1100      0.866908
 5003.1200      0.849608
 5003.1300      0.828589
 5003.1400      0.803628
 5003.1500      0.773462
 5003.1600      0.735719
 5003.1700      0.687586
 5003.1800      0.623933
 5003.1900      0.531741
 5003.2000      0.408062
 5003.2100      0.301078
 5003.2200      0.237696
 5003.2300      0.200353
 5003.2400      0.177606
 5003.2500      0.165646
 5003.2600      0.162732
 5003.2700      0.168404
 5003.2800      0.183543
 5003.2900      0.210323
 5003.3000      0.254049
 5003.3100      0.330037
 5003.3200      0.448073
 5003.3300      0.562928
 5003.3400      0.640301
 5003.3500      0.694437
 5003.3600      0.737548
 5003.3700      0.774120
 5003.3800      0.805394
 5003.3900      0.831928
 5003.4000      0.853460
 5003.4100      0.870691
 5003.4200      0.884850
 5003.4300      0.896724
 5003.4400      0.906829
 5003.4500      0.915514
 5003.4600      0.923032
 5003.4700      0.929580
 5003.4800      0.935315
 5003.4900      0.940363
 5003.5000      0.944828
 5003.5100      0.948797
 5003.5200      0.952332
 5003.5300      0.955495
 5003.5400      0.958335
 5003.5500      0.960894
 5003.5600      0.963205
 5003.5700      0.965297
 5003.5800      0.967197
 5003.5900      0.968924
 5003.6000      0.970499
 5003.6100      0.971936
 5003.6200      0.973190
 5003.6300      0.974370
 5003.6400      0.975424
 5003.6500      0.976274
 5003.6600      0.976600
 5003.6700      0.975447
 5003.6800      0.970954
 5003.6900      0.961334
 5003.7000      0.947735
 5003.7100      0.935998
 5003.7200      0.933243
 5003.7300      0.941561
 5003.7400      0.956067
 5003.7500      0.969395
 5003.7600      0.977718
 5003.7700      0.981528
 5003.7800      0.982879
 5003.7900      0.983087
 5003.8000      0.982121
 5003.8100      0.978868
 5003.8200      0.973212
 5003.8300      0.968469
 5003.8400      0.968999
 5003.8500      0.973789
 5003.8600      0.978019
 5003.8700      0.979308
 5003.8800      0.978275
 5003.8900      0.975721
 5003.9000      0.970918
 5003.9100      0.959195
 5003.9200      0.923763
 5003.9300      0.826869
 5003.9400      0.649309
 5003.9500      0.469939
 5003.9600      0.366344
 5003.9700      0.323173
 5003.9800      0.314004
 5003.9900      0.332559
 5004.0000      0.391518
 5004.0100      0.521043
 5004.0200      0.712086
 5004.0300      0.865475
 5004.0400      0.935421
 5004.0500      0.957683
 5004.0600      0.963472
 5004.0700      0.964196
 5004.0800      0.962423
 5004.0900      0.958249
 5004.1000      0.950714
 5004.1100      0.937016
 5004.1200      0.906862
 5004.1300      0.831035
 5004.1400      0.670167
 5004.1500      0.466870
 5004.1600      0.335215
 5004.1700      0.278162
 5004.1800      0.255274
 5004.1900      0.251292
 5004.2000      0.264115
 5004.2100      0.301021
 5004.2200      0.389796
 5004.2300      0.567204
 5004.2400      0.764056
 5004.2500      0.880307
 5004.2600      0.929234
 5004.2700      0.950028
 5004.2800      0.961289
 5004.2900      0.968488
 5004.3000      0.973477
 5004.3100      0.977149
 5004.3200      0.980026
 5004.3300      0.982203
 5004.3400      0.984004
 5004.3500      0.985478
 5004.3600      0.986702
 5004.3700      0.987731
 5004.3800      0.988606
 5004.3900      0.989358
 5004.4000      0.990009
 5004.4100      0.990577
 5004.4200      0.991076
 5004.4300      0.991518
 5004.4400      0.991911
 5004.4500      0.992263
 5004.4600      0.992581
 5004.4700      0.992866
 5004.4800      0.993124
 5004.4900      0.993359
 5004.5000      0.993574
 5004.5100      0.993771
